round,matchup_id,top_team,top_score,bottom_team,bottom_score
1,playoffBracket_1_1,"Donora Dragons",49,"Masters of Disaster",47
1,playoffBracket_1_2,"LA Losers",56,"Rock Stars",70
1,playoffBracket_1_3,"Polish Power",59,"Leeds United",65
1,playoffBracket_1_4,"Homers Heroes",46,"Egyptian Magicians",41
1,playoffBracket_1_5,"Munich Cowboys",49,"Generals",45
