round,matchup_id,top_team,top_score,bottom_team,bottom_score
1,playoffBracket_1_1,"Leeds United",48,"Masters of Disaster",51
1,playoffBracket_1_2,"Munich Cowboys",73,"Polish Power",46
1,playoffBracket_1_3,"LA Losers",56,"Homers Heroes",66
1,playoffBracket_1_4,"Donora Dragons",65,"Rock Stars",60
1,playoffBracket_1_5,"Generals",44,"Egyptian Magicians",56
