SUMMERALL DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Generals,14,1,1,0.906,1109.0,791.0,3.5
Masters of Disaster,11,5,0,0.688,1003.0,878.0,1
Rock Stars,9,6,1,0.594,885.0,838.0,0
Leeds United,4,12,0,0.250,852.0,960.0,0
Relegators,3,13,0,0.188,856.0,1125.0,0
MADDEN DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Munich Cowboys,10,5,1,0.656,1178.0,963.0,6
Homers Heroes,8,8,0,0.500,980.0,991.0,1.5
Kentucky Football Club,8,8,0,0.500,936.0,1005.0,2
Egyptian Magicians,6,10,0,0.375,909.0,1045.0,0
LA Losers,5,10,1,0.344,923.0,1035.0,2
