Team,POS,Player,Salary,ELIG,Total FPTS,Active FPTS
"Munich Cowboys",/,"Munich Cowboys",Pierre Garcon WR •,4,,
"Munich Cowboys",/,"Munich Cowboys",Jerricho Cotchery WR •,1,,
"Munich Cowboys",/,"Munich Cowboys",Robert Meachem WR •,2,,
"Munich Cowboys",/,"Munich Cowboys",LaDainian Tomlinson RB •,5,,
"Munich Cowboys",/,"Munich Cowboys",Felix Jones RB •,15,,
"Munich Cowboys",/,"Munich Cowboys",Jason Snelling FB •,1,,
"Munich Cowboys",/,"Munich Cowboys",Bernard Berrian WR •,3,,
"Munich Cowboys",/,"Munich Cowboys",Justin Forsett RB •,5,,
"Munich Cowboys",/,"Munich Cowboys",Cowboys DST • DAL,1,,
"Munich Cowboys",/,"Munich Cowboys",Garrett Hartley K •,2,,
"Munich Cowboys",/,"Munich Cowboys",Dallas Clark TE •,22,,
"Munich Cowboys",/,"Munich Cowboys",Miles Austin WR •,56,,
"Munich Cowboys",/,"Munich Cowboys",Steve Smith •,23,,
"Munich Cowboys",/,"Munich Cowboys",Ryan Grant •,51,,
"Munich Cowboys",/,"Munich Cowboys",Shonn Greene RB •,45,,
"Munich Cowboys",/,"Munich Cowboys",Tom Brady QB •,60,,
"DONORA DRAGONS",/,"Donora Dragons",Steve Breaston WR •,1,,
"DONORA DRAGONS",/,"Donora Dragons",Larry Johnson RB •,1,,
"DONORA DRAGONS",/,"Donora Dragons",Johnny Knox •,2,,
"DONORA DRAGONS",/,"Donora Dragons",Chris Cooley •,2,,
"DONORA DRAGONS",/,"Donora Dragons",Santonio Holmes WR •,3,,
"DONORA DRAGONS",/,"Donora Dragons",Jeremy Maclin WR •,6,,
"DONORA DRAGONS",/,"Donora Dragons",Kellen Winslow TE •,2,,
"DONORA DRAGONS",/,"Donora Dragons",Matt Ryan QB •,5,,
"DONORA DRAGONS",/,"Donora Dragons",Steelers DST • PIT,2,,
"DONORA DRAGONS",/,"Donora Dragons",Rob Bironas •,1,,
"DONORA DRAGONS",/,"Donora Dragons",Owen Daniels TE •,3,,
"DONORA DRAGONS",/,"Donora Dragons",Michael Crabtree WR •,13,,
"DONORA DRAGONS",/,"Donora Dragons",Lee Evans •,4,,
"DONORA DRAGONS",/,"Donora Dragons",Rashard Mendenhall RB •,70,,
"DONORA DRAGONS",/,"Donora Dragons",Adrian Peterson RB •,110,,
"DONORA DRAGONS",/,"Donora Dragons",Drew Brees QB •,75,,
"MASTERS OF DISASTER",/,"Masters of Disaster",Alex Smith QB •,1,,
"MASTERS OF DISASTER",/,"Masters of Disaster",Mike Williams WR •,1,,
"MASTERS OF DISASTER",/,"Masters of Disaster",Bears DST • CHI,1,,
"MASTERS OF DISASTER",/,"Masters of Disaster",Tim Hightower RB •,2,,
"MASTERS OF DISASTER",/,"Masters of Disaster",Beanie Wells •,16,,
"MASTERS OF DISASTER",/,"Masters of Disaster",Devin Hester WR •,1,,
"MASTERS OF DISASTER",/,"Masters of Disaster",Darren Sproles RB •,1,,
"MASTERS OF DISASTER",/,"Masters of Disaster",Chad Henne QB •,1,,
"MASTERS OF DISASTER",/,"Masters of Disaster",Dolphins DST • MIA,1,,
"MASTERS OF DISASTER",/,"Masters of Disaster",David Buehler •,1,,
"MASTERS OF DISASTER",/,"Masters of Disaster",Jermichael Finley TE •,33,,
"MASTERS OF DISASTER",/,"Masters of Disaster",Santana Moss WR •,8,,
"MASTERS OF DISASTER",/,"Masters of Disaster",Hakeem Nicks WR •,13,,
"MASTERS OF DISASTER",/,"Masters of Disaster",Chris Johnson RB •,115,,
"MASTERS OF DISASTER",/,"Masters of Disaster",Jahvid Best RB •,35,,
"MASTERS OF DISASTER",/,"Masters of Disaster",Aaron Rodgers QB • NYJ,70,,
"LEEDS UNITED",/,"Leeds United",Dez Bryant WR •,3,,
"LEEDS UNITED",/,"Leeds United",Titans DST • TEN,1,,
"LEEDS UNITED",/,"Leeds United",Jabar Gaffney •,1,,
"LEEDS UNITED",/,"Leeds United",Kevin Kolb QB •,8,,
"LEEDS UNITED",/,"Leeds United",Austin Collie WR •,1,,
"LEEDS UNITED",/,"Leeds United",Marion Barber RB •,8,,
"LEEDS UNITED",/,"Leeds United",Terrell Owens •,11,,
"LEEDS UNITED",/,"Leeds United",LeSean McCoy RB •,25,,
"LEEDS UNITED",/,"Leeds United",Saints DST • NO,1,,
"LEEDS UNITED",/,"Leeds United",Mason Crosby K •,2,,
"LEEDS UNITED",/,"Leeds United",Brent Celek TE •,12,,
"LEEDS UNITED",/,"Leeds United",Randy Moss WR •,76,,
"LEEDS UNITED",/,"Leeds United",Roddy White WR •,54,,
"LEEDS UNITED",/,"Leeds United",Ryan Mathews RB •,53,,
"LEEDS UNITED",/,"Leeds United",Matt Forte RB •,30,,
"LEEDS UNITED",/,"Leeds United",Jay Cutler QB •,14,,
"HOMERS HEROES",/,"Homers Heroes",Cadillac Williams RB •,3,,
"HOMERS HEROES",/,"Homers Heroes",Dwayne Bowe WR •,10,,
"HOMERS HEROES",/,"Homers Heroes",Kyle Orton QB •,1,,
"HOMERS HEROES",/,"Homers Heroes",Zach Miller TE •,2,,
"HOMERS HEROES",/,"Homers Heroes",Thomas Jones RB •,4,,
"HOMERS HEROES",/,"Homers Heroes",Jonathan Stewart RB •,15,,
"HOMERS HEROES",/,"Homers Heroes",Ricky Williams RB •,6,,
"HOMERS HEROES",/,"Homers Heroes",Leon Washington RB •,1,,
"HOMERS HEROES",/,"Homers Heroes",Ravens DST • BAL,1,,
"HOMERS HEROES",/,"Homers Heroes",Ryan Succop K •,1,,
"HOMERS HEROES",/,"Homers Heroes",Greg Olsen TE •,2,,
"HOMERS HEROES",/,"Homers Heroes",Hines Ward WR •,15,,
"HOMERS HEROES",/,"Homers Heroes",Marques Colston WR •,40,,
"HOMERS HEROES",/,"Homers Heroes",Jamaal Charles RB •,39,,
"HOMERS HEROES",/,"Homers Heroes",Ray Rice RB •,96,,
"HOMERS HEROES",/,"Homers Heroes",Peyton Manning QB •,61,,
"ROCK STARS",/,"Rock Stars",Lawrence Tynes •,1,,
"ROCK STARS",/,"Rock Stars",Reggie Bush RB •,3,,
"ROCK STARS",/,"Rock Stars",Ahmad Bradshaw RB •,7,,
"ROCK STARS",/,"Rock Stars",Steve Slaton •,1,,
"ROCK STARS",/,"Rock Stars",Ben Roethlisberger QB •,2,,
"ROCK STARS",/,"Rock Stars",Mike Sims-Walker WR •,7,,
"ROCK STARS",/,"Rock Stars",Derrick Mason WR •,2,,
"ROCK STARS",/,"Rock Stars",Percy Harvin WR •,6,,
