Team,POS,Player,Salary,ELIG,Total FPTS,Active FPTS
"",QB,"Joe Burrow QB • CIN",22,QB,294,
"",WR,"Tyreek Hill WR • MIA",82,WR,70,
"",RB,"Derrick Henry RB • BAL",69,RB,191,
"",WR,"Brandon Aiyuk WR • SF",32,WR,11,
"",RB,"James Conner RB • ARI",18,RB,111,
"",WR,"Drake London WR • ATL",40,WR,100,
"",TE,"Dalton Kincaid TE • BUF",8,TE,24,
"",TE,"Jake Ferguson TE • DAL",2,TE,10,
"",WR,"Jayden Reed WR • GB",5,WR,78,
"",RB,"Brian Robinson Jr. RB • ATL",5,RB,79,
"",RB,"Jerome Ford RB • WAS",6,RB,40,
"",WR,"Terry McLaurin WR • WAS",1,WR,121,
"",DST,"Browns DST • CLE",2,DST,68,
"",RB,"Jaylen Warren RB • PIT",1,RB,24,
"",QB,"Jayden Daniels QB • WAS",2,QB,235,
"",K,"Jake Elliott K • PHI",2,K,132,
"MASTERS OF DISASTER",WR,"Ja'Marr Chase WR • CIN",76,WR,181,
"MASTERS OF DISASTER",RB,"Travis Etienne RB • NO",60,RB,31,
"MASTERS OF DISASTER",QB,"C.J. Stroud QB • HOU",21,QB,149,
"MASTERS OF DISASTER",TE,"Mark Andrews TE • BAL",29,TE,85,
"MASTERS OF DISASTER",WR,"Calvin Ridley WR • TEN",10,WR,69,
"MASTERS OF DISASTER",WR,"Davante Adams WR • LAR",22,WR,90,
"MASTERS OF DISASTER",WR,"George Pickens WR • DAL",15,WR,50,
"MASTERS OF DISASTER",QB,"Kyler Murray QB • MIN",9,QB,203,
"MASTERS OF DISASTER",RB,"Rhamondre Stevenson RB • NE",12,RB,76,
"MASTERS OF DISASTER",WR,"Chris Olave WR • NO",23,WR,20,
"MASTERS OF DISASTER",WR,"Courtland Sutton WR • DEN",3,WR,92,
"MASTERS OF DISASTER",RB,"Zamir White RB • LV",12,RB,10,
"MASTERS OF DISASTER",DST,"Cowboys DST • DAL",1,DST,95,
"MASTERS OF DISASTER",RB,"Javonte Williams RB • DAL",1,RB,46,
"MASTERS OF DISASTER",RB,"Devin Singletary RB • NYG",1,RB,34,
"MASTERS OF DISASTER",K,"Brandon Aubrey K • DAL",5,K,164,
"LEEDS UNITED",RB,"Isiah Pacheco RB • DET",56,RB,16,
"LEEDS UNITED",WR,"DK Metcalf WR • PIT",29,WR,70,
"LEEDS UNITED",WR,"Justin Jefferson WR • MIN",65,WR,122,
"LEEDS UNITED",RB,"Raheem Mostert RB • LV",20,RB,22,
"LEEDS UNITED",QB,"Anthony Richardson QB • IND",26,QB,114,
"LEEDS UNITED",WR,"Garrett Wilson WR • NYJ",42,WR,85,
"LEEDS UNITED",RB,"Gus Edwards RB • LAC",16,RB,34,
"LEEDS UNITED",RB,"Tony Pollard RB • TEN",3,RB,73,
"LEEDS UNITED",TE,"Trey McBride TE • ARI",20,TE,70,
"LEEDS UNITED",DST,"Steelers DST • PIT",1,DST,91,
"LEEDS UNITED",WR,"Khalil Shakir WR • BUF",3,WR,54,
"LEEDS UNITED",WR,"Malik Nabers WR • NYG",12,WR,92,
"LEEDS UNITED",WR,"Chris Godwin WR • TB",3,WR,56,
"LEEDS UNITED",TE,"Kyle Pitts TE • ATL",2,TE,43,
"LEEDS UNITED",K,"Tyler Bass K • BUF",1,K,135,
"LEEDS UNITED",QB,"Aaron Rodgers QB • PIT",1,QB,185,
"HOMERS HEROES",RB,"Breece Hall RB • NYJ",79,RB,96,
"HOMERS HEROES",QB,"Lamar Jackson QB • BAL",38,QB,301,
"HOMERS HEROES",RB,"Joe Mixon RB • HOU",40,RB,122,
