round,matchup_id,top_team,top_score,bottom_team,bottom_score
1,playoffBracket_1_1,"Leeds United",39,"Generals",80
1,playoffBracket_1_2,"Munich Cowboys",29,"Masters of Disaster",46
1,playoffBracket_1_3,"Egyptian Magicians",50,"Donora Dragons",50
1,playoffBracket_1_4,"Rock Stars",69,"My hate for you, it grow",83
1,playoffBracket_1_5,"LA Losers",38,"Kentucky Football Club",51
