MADDEN DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Donora Dragons,10,6,0,0.625,1073.0,974.0,2
Generals,7,9,0,0.438,972.0,1002.0,2
LA Losers,7,9,0,0.438,932.0,996.0,0.5
Masters of Disaster,7,9,0,0.438,924.0,1008.0,0.5
Munich Cowboys,6,10,0,0.375,888.0,951.0,0
SUMMERALL DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Leeds United,11,5,0,0.688,1196.0,936.0,6
Homers Heroes,10,5,1,0.656,1080.0,930.0,2
Kentucky Football Club,9,6,1,0.594,1036.0,1044.0,1
Egyptian Magicians,7,9,0,0.438,926.0,926.0,2
Rock Stars,5,11,0,0.312,855.0,1115.0,0
