week,away_team,home_team,away_result,home_result
1,"Masters of Disaster","Homers Heroes",79.0,57.0
1,"Donora Dragons","Generals",61.0,61.0
1,"LA Losers","Egyptian Magicians",64.0,49.0
1,"Munich Cowboys","Rock Stars",51.0,68.0
1,"Kentucky Football Club","Leeds United",71.0,47.0
2,"Generals","Munich Cowboys",59.0,59.0
2,"Leeds United","LA Losers",36.0,60.0
2,"Masters of Disaster","Kentucky Football Club",78.0,101.0
2,"Rock Stars","Egyptian Magicians",93.0,66.0
2,"Homers Heroes","Donora Dragons",48.0,42.0
3,"Generals","Masters of Disaster",74.0,66.0
3,"Egyptian Magicians","Munich Cowboys",37.0,41.0
3,"Donora Dragons","LA Losers",48.0,63.0
3,"Kentucky Football Club","Homers Heroes",60.0,39.0
3,"Leeds United","Rock Stars",49.0,59.0
4,"Egyptian Magicians","Leeds United",65.0,41.0
4,"Masters of Disaster","Donora Dragons",51.0,71.0
4,"LA Losers","Munich Cowboys",57.0,85.0
4,"Kentucky Football Club","Generals",61.0,40.0
4,"Rock Stars","Homers Heroes",36.0,58.0
5,"LA Losers","Rock Stars",66.0,65.0
5,"Homers Heroes","Generals",88.0,63.0
5,"Munich Cowboys","Leeds United",60.0,66.0
5,"Donora Dragons","Kentucky Football Club",36.0,68.0
5,"Egyptian Magicians","Masters of Disaster",37.0,72.0
6,"Kentucky Football Club","Leeds United",50.0,48.0
6,"Masters of Disaster","Munich Cowboys",65.0,67.0
6,"Donora Dragons","LA Losers",49.0,51.0
6,"Generals","Egyptian Magicians",62.0,40.0
6,"Homers Heroes","Rock Stars",46.0,60.0
7,"Leeds United","Masters of Disaster",87.0,84.0
7,"LA Losers","Generals",51.0,73.0
7,"Munich Cowboys","Homers Heroes",60.0,40.0
7,"Egyptian Magicians","Kentucky Football Club",33.0,36.0
7,"Donora Dragons","Rock Stars",58.0,40.0
8,"Rock Stars","Kentucky Football Club",51.0,63.0
8,"Generals","Munich Cowboys",94.0,46.0
8,"Homers Heroes","Egyptian Magicians",73.0,72.0
8,"Masters of Disaster","LA Losers",58.0,75.0
8,"Donora Dragons","Leeds United",53.0,63.0
9,"Masters of Disaster","Leeds United",79.0,83.0
9,"Homers Heroes","Kentucky Football Club",68.0,49.0
9,"Munich Cowboys","Egyptian Magicians",60.0,40.0
9,"LA Losers","Rock Stars",68.0,34.0
9,"Generals","Donora Dragons",34.0,74.0
10,"Kentucky Football Club","Masters of Disaster",41.0,52.0
10,"Egyptian Magicians","Donora Dragons",43.0,42.0
10,"Rock Stars","Generals",58.0,50.0
10,"LA Losers","Homers Heroes",68.0,64.0
10,"Leeds United","Munich Cowboys",68.0,73.0
11,"Egyptian Magicians","Kentucky Football Club",79.0,68.0
11,"Donora Dragons","Leeds United",61.0,53.0
11,"Masters of Disaster","Rock Stars",57.0,60.0
11,"Munich Cowboys","LA Losers",65.0,58.0
11,"Generals","Homers Heroes",89.0,39.0
12,"Kentucky Football Club","Rock Stars",83.0,60.0
12,"Leeds United","Generals",79.0,43.0
12,"Homers Heroes","Egyptian Magicians",68.0,62.0
12,"Donora Dragons","Munich Cowboys",57.0,73.0
12,"Masters of Disaster","LA Losers",54.0,49.0
13,"Rock Stars","Donora Dragons",57.0,63.0
13,"Homers Heroes","Leeds United",75.0,85.0
13,"Generals","Egyptian Magicians",62.0,43.0
13,"LA Losers","Kentucky Football Club",61.0,48.0
13,"Munich Cowboys","Masters of Disaster",68.0,64.0
14,"Masters of Disaster","Rock Stars",55.0,34.0
14,"Kentucky Football Club","Munich Cowboys",77.0,60.0
14,"Egyptian Magicians","Donora Dragons",51.0,52.0
14,"LA Losers","Homers Heroes",32.0,52.0
14,"Leeds United","Generals",43.0,69.0
15,"Rock Stars","Leeds United",49.0,50.0
15,"Generals","Masters of Disaster",82.0,54.0
15,"Munich Cowboys","Kentucky Football Club",70.0,56.0
15,"Egyptian Magicians","LA Losers",58.0,79.0
15,"Homers Heroes","Donora Dragons",49.0,44.0
16,"Leeds United","LA Losers",60.0,74.0
16,"Munich Cowboys","Homers Heroes",61.0,31.0
16,"Rock Stars","Egyptian Magicians",28.0,44.0
16,"Generals","Kentucky Football Club",81.0,45.0
16,"Donora Dragons","Masters of Disaster",52.0,56.0
17,"Munich Cowboys","Generals",60.0,30.0
17,"LA Losers","Kentucky Football Club",57.0,59.0
17,"Leeds United","Homers Heroes",70.0,75.0
17,"Rock Stars","Donora Dragons",50.0,69.0
17,"Egyptian Magicians","Masters of Disaster",38.0,23.0
18,"Munich Cowboys","Generals",63.0,53.0
18,"TBA","TBA",0.0,0.0
18,"TBA","TBA",0.0,0.0
18,"TBA","TBA",0.0,0.0
18,"TBA","TBA",0.0,0.0
