MADDEN DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Donora Dragons,11,6,0,0.647,988.0,808.0,3.5
Polish Power,11,6,0,0.647,973.0,843.0,1
Homers Heroes,10,7,0,0.588,987.0,885.0,4
Munich Cowboys,8,9,0,0.471,747.0,811.0,0
Masters of Disaster,4,13,0,0.235,835.0,960.0,1
SUMMERALL DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Leeds United,14,3,0,0.824,1093.0,805.0,4
Generals,8,9,0,0.471,840.0,915.0,1
LA Losers,7,10,0,0.412,839.0,917.0,0
Rock Stars,7,10,0,0.412,795.0,959.0,1.5
Egyptian Magicians,5,12,0,0.294,811.0,1005.0,1
