MADDEN DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Kentucky Football Club,11,6,0,0.647,1036.0,960.0,3
Generals,9,6,2,0.588,1066.0,967.0,5
Homers Heroes,9,8,0,0.529,970.0,1032.0,2
Donora Dragons,7,9,1,0.441,932.0,911.0,0
Masters of Disaster,6,11,0,0.353,1047.0,1076.0,1
SUMMERALL DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Munich Cowboys,12,4,1,0.735,1059.0,967.0,3
LA Losers,11,6,0,0.647,1033.0,957.0,0
Leeds United,7,10,0,0.412,1028.0,1100.0,3
Rock Stars,6,11,0,0.353,902.0,996.0,0
Egyptian Magicians,5,12,0,0.294,857.0,964.0,0
