MADDEN DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Masters of Disaster,9,8,0,0.529,976.0,861.0,2.3
P-Funk All Stars,9,8,0,0.529,962.0,907.0,1.5
Leeds United,8,9,0,0.471,936.0,1015.0,1.5
LA Losers,8,9,0,0.471,911.0,975.0,2
Polish Power,6,11,0,0.353,904.0,1004.0,2
SUMMERALL DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Rock Stars,11,6,0,0.647,984.0,920.0,2.5
Egyptian Magicians,10,6,1,0.618,988.0,906.0,1.8
Generals,10,7,0,0.588,1030.0,1014.0,2
Homers Heroes,7,10,0,0.412,882.0,842.0,1
Munich Cowboys,6,10,1,0.382,836.0,965.0,0.3
