round,matchup_id,top_team,top_score,bottom_team,bottom_score
1,playoffBracket_1_1,"Rock Stars",85,"Egyptian Magicians",100
1,playoffBracket_1_2,"Masters of Disaster",73,"Kentucky Football Club",52
1,playoffBracket_1_3,"Generals",57,"Donora Dragons",73
1,playoffBracket_1_4,"My hate for you, it grow",90,"Munich Cowboys",82
1,playoffBracket_1_5,"LA Losers",51,"Leeds United",73
