round,matchup_id,top_team,top_score,bottom_team,bottom_score
1,playoffBracket_1_1,"Rock Stars",61,"Masters of Disaster",51
1,playoffBracket_1_2,"P-Funk All Stars",49,"Egyptian Magicians",68
1,playoffBracket_1_3,"Generals",50,"LA Losers",43
1,playoffBracket_1_4,"Homers Heroes",45,"Leeds United",60
1,playoffBracket_1_5,"Munich Cowboys",42,"Polish Power",39
