record,team,value
"Most Points Scored, Season","Masters of Disaster",974.0
"Most Points Scored, Game","Donora Dragons",94
"Least Points Scored, Season","Generals",811.0
"Most Points Allowed, Season","Munich Cowboys",955.0
"Least Points Allowed, Season","Polish Power",778.0
"Highest Average Game Score, Season","Masters of Disaster",60.88
"Lowest Average Game Score, Season","Generals",50.69
"Least Points Scored, Game","LA Losers",27
"Most Points Allowed, Game","Munich Cowboys",94
"Least Points Allowed, Game","Polish Power",27
"Highest Winning Percentage, Season","Donora Dragons",0.625
"Lowest Winning Percentage, Season","Munich Cowboys",0.375
"Most Wins, Season","Donora Dragons",10
"Least Wins, Season","Munich Cowboys",6
"Best Margin of Victory, Game","Donora Dragons",60
"Worst Margin of Defeat, Game","Munich Cowboys",-60
"Best Average Point Differential, Season","Masters of Disaster",5.50
"Worst Average Point Differential, Season","Munich Cowboys",-6.69
"Longest Winning Streak, Season","Rock Stars",6
"Longest Losing Streak, Season","Polish Power",6
"Best Power Ranking, Season","Masters of Disaster",28
"Worst Power Ranking, Season","Generals",5
"Most High Week Scores, Season","Rock Stars",4
