round,matchup_id,top_team,top_score,bottom_team,bottom_score
1,playoffBracket_1_1,"I hate you guys (feat. Homer)",54,"Leeds United",46
1,playoffBracket_1_2,"Rock Stars",40,"Masters of Disaster",68
1,playoffBracket_1_3,"Kentucky Football Club",68,"Munich Cowboys",62
1,playoffBracket_1_4,"Donora Dragons",39,"Generals",49
1,playoffBracket_1_5,"LA Losers",30,"Egyptian Magicians",57
