MADDEN DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Homers Heroes,10,6,1,0.618,1033.0,933.0,2
Egyptian Magicians,9,8,0,0.529,1100.0,1112.0,2
Masters of Disaster,9,8,0,0.529,987.0,998.0,2
Donora Dragons,7,10,0,0.412,943.0,1111.0,0
Leeds United,6,11,0,0.353,1059.0,1085.0,1
SUMMERALL DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Munich Cowboys,12,5,0,0.706,1020.0,897.0,2
Rock Stars,9,8,0,0.529,1127.0,1120.0,1
Kentucky Football Club,8,9,0,0.471,1174.0,1074.0,5
Generals,8,9,0,0.471,1038.0,978.0,2
LA Losers,6,10,1,0.382,918.0,1091.0,0
