MADDEN DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Egyptian Magicians,11,5,1,0.676,1001.0,860.0,3.3
LA Losers,10,7,0,0.588,859.0,866.0,3
Donora Dragons,9,7,1,0.559,959.0,839.0,3.3
Polish Power,7,10,0,0.412,886.0,913.0,1
Generals,6,11,0,0.353,812.0,894.0,0
SUMMERALL DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Rock Stars,10,7,0,0.588,892.0,846.0,0
Masters of Disaster,9,7,1,0.559,964.0,920.0,1.3
Leeds United,8,9,0,0.471,863.0,898.0,3
Homers Heroes,8,9,0,0.471,861.0,899.0,1
Munich Cowboys,5,11,1,0.324,783.0,945.0,1
