MADDEN DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Leeds United,10,7,0,0.588,922.0,870.0,2
Munich Cowboys,9,6,2,0.588,843.0,840.0,0
Masters of Disaster,7,8,2,0.471,805.0,913.0,2
Rock Stars,7,9,1,0.441,898.0,833.0,3
P-Funk All Stars,7,9,1,0.441,836.0,850.0,1
SUMMERALL DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Egyptian Magicians,11,6,0,0.647,983.0,842.0,3
Homers Heroes,10,7,0,0.588,992.0,879.0,3
Polish Power,9,8,0,0.529,833.0,868.0,2
Generals,6,11,0,0.353,828.0,885.0,1
LA Losers,5,10,2,0.353,807.0,967.0,0
