SUMMERALL DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Generals,11,5,0,0.688,1036.0,996.0,1
Leeds United,7,8,1,0.469,954.0,999.0,0
Relegators,7,8,1,0.469,862.0,905.0,0
Rock Stars,7,9,0,0.438,958.0,1029.0,1
Masters of Disaster,5,11,0,0.312,947.0,1004.0,2
MADDEN DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
LA Losers,10,5,1,0.656,928.0,802.0,2
Homers Heroes,9,7,0,0.562,1036.0,902.0,3
Kentucky Football Club,9,7,0,0.562,958.0,947.0,2
Munich Cowboys,8,7,1,0.531,1043.0,1017.0,3
Egyptian Magicians,5,11,0,0.312,930.0,1051.0,2
