SUMMERALL DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Generals,12,4,0,0.750,1167.0,907.0,5
LA Losers,11,5,0,0.688,1068.0,924.0,3
Leeds United,8,8,0,0.500,910.0,948.0,1
Masters of Disaster,5,11,0,0.312,890.0,983.0,1
Rock Stars,5,11,0,0.312,870.0,1021.0,3
MADDEN DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Egyptian Magicians,11,4,1,0.719,1011.0,868.0,0
Donora Dragons,8,7,1,0.531,881.0,938.0,0
Munich Cowboys,8,8,0,0.500,948.0,977.0,2
Homers Heroes,6,10,0,0.375,859.0,930.0,0
Kentucky Football Club,5,11,0,0.312,855.0,963.0,1
