round,matchup_id,top_team,top_score,bottom_team,bottom_score
1,playoffBracket_1_1,"Donora Dragons",50,"Generals",97
1,playoffBracket_1_2,"Egyptian Magicians",67,"Homers Heroes",81
1,playoffBracket_1_3,"Polish Power",61,"Rock Stars",47
1,playoffBracket_1_4,"Masters of Disaster",49,"LA Losers",75
1,playoffBracket_1_5,"Munich Cowboys",63,"Leeds United",68
