SUMMERALL DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
I hate you guys (feat. Homer),9,7,0,0.562,1001.0,948.0,1
Rock Stars,8,7,1,0.531,904.0,895.0,4
Kentucky Football Club,8,8,0,0.500,962.0,941.0,1
Donora Dragons,6,9,1,0.406,961.0,994.0,0
LA Losers,4,12,0,0.250,866.0,1029.0,1
MADDEN DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Leeds United,12,4,0,0.750,978.0,880.0,3
Masters of Disaster,10,4,2,0.688,965.0,882.0,1
Munich Cowboys,9,7,0,0.562,910.0,872.0,3
Generals,8,8,0,0.500,916.0,905.0,1
Egyptian Magicians,3,11,2,0.250,902.0,1019.0,1
