record,team,value
"Most Points Scored, Season","Generals",1066.0
"Most Points Scored, Game","Kentucky Football Club",101.0000
"Least Points Scored, Season","Egyptian Magicians",857.0
"Most Points Allowed, Season","Leeds United",1100.0
"Least Points Allowed, Season","Donora Dragons",911.0
"Highest Average Game Score, Season","Generals",62.71
"Lowest Average Game Score, Season","Egyptian Magicians",50.41
"Least Points Scored, Game","Masters of Disaster",23.0000
"Most Points Allowed, Game","Masters of Disaster",101.0000
"Least Points Allowed, Game","Egyptian Magicians",23.0000
"Highest Winning Percentage, Season","Munich Cowboys",0.735
"Lowest Winning Percentage, Season","Egyptian Magicians",0.294
"Most Wins, Season","Munich Cowboys",12
"Least Wins, Season","Egyptian Magicians",5
"Best Margin of Victory, Game","Generals",50
"Worst Margin of Defeat, Game","Homers Heroes",-50
"Best Average Point Differential, Season","Generals",5.82
"Worst Average Point Differential, Season","Egyptian Magicians",-6.29
"Longest Winning Streak, Season","Kentucky Football Club",8
"Longest Losing Streak, Season","Rock Stars",6
"Best Power Ranking, Season","Munich Cowboys",29
"Worst Power Ranking, Season","Egyptian Magicians",3
"Most High Week Scores, Season","Generals",5
