Player,POS,Total FPTS,Avg FPTS
"Josh Allen QB • BUF",QB,289,17.00
"Justin Herbert QB • LAC",QB,284,16.71
"Matthew Stafford QB • LAR",QB,269,15.82
"Patrick Mahomes QB • KC",QB,268,15.76
"Joe Burrow QB • CIN",QB,250,15.62
"Aaron Rodgers QB • PIT",QB,241,15.06
"Dak Prescott QB • DAL",QB,234,14.62
"Kirk Cousins QB • LV",QB,222,13.88
"Jonathan Taylor RB • IND",RB,211,12.41
"Kyler Murray QB • MIN",QB,210,15.00
"Jalen Hurts QB • PHI",QB,202,13.47
"Carson Wentz QB • MIN",QB,185,10.88
"Derek Carr QB • NO",QB,182,10.71
"Cooper Kupp WR • SEA",WR,179,10.53
"Russell Wilson QB • NYG",QB,177,12.64
"Austin Ekeler RB • WAS",RB,173,10.81
"Jimmy Garoppolo QB • LAR",QB,170,11.33
"Lamar Jackson QB • BAL",QB,161,13.42
"Mac Jones QB • SF",QB,160,9.41
"Taylor Heinicke QB • LAC",QB,159,9.94
"Deebo Samuel WR • WAS",WR,159,9.94
"Daniel Carlson K • LV",K,156,9.18
"Nick Folk K • ATL",K,155,9.12
"Joe Mixon RB • HOU",RB,149,9.31
"Ja'Marr Chase WR • CIN",WR,148,8.71
"Matt Gay K • LV",K,148,8.71
"James Conner RB • ARI",RB,145,9.67
"Matt Prater K • BUF",K,144,8.47
"Chris Boswell K • PIT",K,143,8.41
"Justin Tucker K • BAL",K,143,8.41
"Greg Joseph K • LV",K,142,8.35
"Jared Goff QB • DET",QB,139,9.93
"Evan McPherson K • CIN",K,139,8.69
"Teddy Bridgewater QB • DET",QB,138,9.86
"Jake Elliott K • PHI",K,137,8.06
"Tyler Bass K • BUF",K,137,8.06
"Baker Mayfield QB • TB",QB,133,9.50
"Dustin Hopkins K • CLE",K,132,7.76
"Greg Zuerlein K • NYJ",K,131,8.19
"Tua Tagovailoa QB • ATL",QB,130,10.00
"Davante Adams WR • LAR",WR,129,8.06
"Harrison Butker K • KC",K,129,8.06
"Trevor Lawrence QB • JAC",QB,126,7.41
"Justin Jefferson WR • MIN",WR,126,7.41
"Mike Evans WR • SF",WR,123,7.69
"Cowboys DST • DAL",DST,123,7.24
"Davis Mills QB • HOU",QB,121,9.31
"Bills DST • BUF",DST,117,6.88
"Brandon McManus K • GB",K,116,6.82
"Sam Darnold QB • SEA",QB,115,9.58
"Younghoe Koo K • NYJ",K,115,6.76
"Najee Harris RB • LAC",RB,113,6.65
"Dolphins DST • MIA",DST,113,6.65
"Derrick Henry RB • BAL",RB,112,14.00
"Nick Chubb RB • HOU",RB,111,7.93
"Graham Gano K • NYG",K,111,6.53
"Daniel Jones QB • IND",QB,110,10.00
"Patriots DST • NE",DST,109,6.41
"DK Metcalf WR • PIT",WR,108,6.35
"Mark Andrews TE • BAL",TE,108,6.35
"Zach Wilson QB • NO",QB,107,8.23
"Cordarrelle Patterson RB • PIT",RB,106,6.62
"Antonio Gibson RB • NE",RB,105,6.56
"Mike Williams WR • LAC",WR,105,6.56
"Cairo Santos K • CHI",K,105,6.18
"Jason Sanders K • NYJ",K,105,6.18
"Travis Kelce TE • KC",TE,104,6.50
"Tyreek Hill WR • MIA",WR,103,6.06
"Saints DST • NO",DST,103,6.06
"Titans DST • TEN",DST,103,6.06
"Alvin Kamara RB • NO",RB,102,7.85
"Stefon Diggs WR • NE",WR,102,6.00
"Tyler Lockett WR • LV",WR,101,6.31
"Buccaneers DST • TB",DST,99,5.82
"Diontae Johnson WR • CLE",WR,98,6.12
"Jason Myers K • SEA",K,98,5.76
"Colts DST • IND",DST,98,5.76
"Aaron Jones RB • MIN",RB,97,6.47
"Bears DST • CHI",DST,95,5.59
"Vikings DST • MIN",DST,95,5.59
"Mike Badgley K • BUF",K,94,7.23
"Josh Jacobs RB • GB",RB,91,6.07
"Hunter Renfrow WR • CAR",WR,91,5.35
"Joey Slye K • TEN",K,91,7.58
"Packers DST • GB",DST,89,5.24
"Jameis Winston QB • NYG",QB,88,12.57
"Chiefs DST • KC",DST,88,5.18
"49ers DST • SF",DST,87,5.12
"Rams DST • LAR",DST,87,5.12
"Adam Thielen WR • PIT",WR,85,6.54
"Zane Gonzalez K • MIA",K,85,7.08
"Chase McLaughlin K • TB",K,85,5.31
"Cardinals DST • ARI",DST,85,5.00
"Browns DST • CLE",DST,84,4.94
"Justin Fields QB • KC",QB,83,6.92
"Devin Singletary RB • NYG",RB,83,4.88
"Keenan Allen WR • LAC",WR,83,5.19
"Steelers DST • PIT",DST,83,4.88
"D'Andre Swift RB • CHI",RB,81,6.23
"Eagles DST • PHI",DST,81,4.76
"Brandin Cooks WR • BUF",WR,80,5.00
"Matthew Wright K • BUF",K,80,5.71
"Javonte Williams RB • DAL",RB,79,4.65
"Marquise Brown WR • PHI",WR,79,4.94
"CeeDee Lamb WR • DAL",WR,78,4.88
"Michael Pittman WR • PIT",WR,78,4.59
"Tee Higgins WR • CIN",WR,78,5.57
"Amari Cooper WR • LV",WR,78,5.20
"David Montgomery RB • HOU",RB,77,5.92
"Chris Godwin WR • TB",WR,77,5.50
"Elijah Mitchell RB • PHI",RB,76,6.91
"Jaylen Waddle WR • DEN",WR,76,4.75
"Broncos DST • DEN",DST,76,4.47
"Panthers DST • CAR",DST,76,4.47
"Commanders DST • WAS",DST,76,4.47
"Dawson Knox TE • BUF",TE,75,5.00
"Taysom Hill TE • NO",TE,75,6.25
"Dalton Schultz TE • HOU",TE,75,4.41
"Bengals DST • CIN",DST,75,4.41
"Giants DST • NYG",DST,73,4.29
"George Kittle TE • SF",TE,72,5.14
"Hunter Henry TE • NE",TE,72,4.24
"AJ Dillon RB • CAR",RB,70,4.12
"Darnell Mooney WR • NYG",WR,70,4.12
"Terry McLaurin WR • WAS",WR,70,4.12
"Texans DST • HOU",DST,70,4.12
"Amon-Ra St. Brown WR • DET",WR,69,4.06
"Trevor Siemian QB • ATL",QB,68,11.33
"DJ Moore WR • BUF",WR,68,4.00
"DeAndre Hopkins WR • BAL",WR,67,6.70
"Chargers DST • LAC",DST,66,3.88
"K.J. Osborn WR • TEN",K,65,3.82
"Van Jefferson WR • WAS",WR,65,3.82
"Andy Dalton QB • PHI",QB,64,8.00
"Ravens DST • BAL",DST,64,3.76
"Christian Kirk WR • SF",WR,63,3.71
"Kendrick Bourne WR • ARI",WR,63,3.71
"Myles Gaskin RB • SEA",RB,62,3.65
"A.J. Brown WR • NE",WR,62,4.77
"DeVonta Smith WR • PHI",WR,62,3.65
"Allen Lazard WR • NYJ",WR,62,4.13
"Ka'imi Fairbairn K • HOU",K,62,4.77
"Chuba Hubbard RB • CAR",RB,61,3.59
"Seahawks DST • SEA",DST,60,3.53
"Raiders DST • LV",DST,60,3.53
"Clyde Edwards-Helaire RB • KC",RB,59,5.90
"Tyler Boyd WR • TEN",WR,59,3.69
"Marquez Callaway WR • LV",WR,59,3.47
"Cedrick Wilson Jr. WR • DET",WR,59,3.69
"Brandon Aiyuk WR • SF",WR,59,3.47
"Tyrod Taylor QB • GB",QB,58,9.67
"Jaguars DST • JAC",DST,58,3.41
"Jets DST • NYJ",DST,57,3.35
"Pat Freiermuth TE • PIT",TE,56,3.50
"Elijah Moore WR • PHI",WR,55,5.00
"Zach Ertz TE • WAS",TE,55,3.24
"Riley Patterson K • MIA",K,55,7.86
"Russell Gage WR • SF",WR,54,3.86
"Dallas Goedert TE • PHI",TE,54,3.60
"Rhamondre Stevenson RB • NE",RB,53,4.42
"Saquon Barkley RB • PHI",RB,53,4.08
"Gabe Davis WR • BUF",WR,53,3.31
"Kenneth Gainwell RB • TB",RB,52,3.25
"Tim Patrick WR • NYJ",WR,52,3.25
"Tony Pollard RB • TEN",RB,51,3.40
"Michael Carter RB • TEN",RB,51,3.64
"Robert Woods WR • PIT",WR,51,5.67
"Lions DST • DET",DST,50,2.94
"Jacoby Brissett QB • ARI",QB,49,4.45
"Antonio Brown WR • TB",WR,49,7.00
"Falcons DST • ATL",DST,49,2.88
"Tyler Huntley QB • BAL",QB,48,6.86
