round,matchup_id,top_team,top_score,bottom_team,bottom_score
1,playoffBracket_1_1,"LA Losers",59,"Masters of Disaster",71
1,playoffBracket_1_2,"Homer's Zeroes (feat. Homer)",43,"Generals",66
1,playoffBracket_1_3,"Egyptian Magicians",69,"Rock Stars",56
1,playoffBracket_1_4,"Munich Cowboys",48,"Donora Dragons",25
1,playoffBracket_1_5,"Leeds United",52,"Kentucky Football Club",28
