SUMMERALL DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Rock Stars,11,5,0,0.688,1051.0,963.0,1.5
Masters of Disaster,11,5,0,0.688,1019.0,942.0,3
Generals,8,8,0,0.500,1133.0,996.0,3
My hate for you, it grow,8,8,0,0.500,942.0,1031.0,3
LA Losers,4,12,0,0.250,857.0,1035.0,0
MADDEN DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Egyptian Magicians,10,6,0,0.625,1066.0,982.0,2
Kentucky Football Club,10,6,0,0.625,974.0,893.0,1
Donora Dragons,9,7,0,0.562,1074.0,1001.0,2.5
Munich Cowboys,6,10,0,0.375,1003.0,1099.0,0
Leeds United,3,13,0,0.188,984.0,1161.0,0
