Player,POS,Total FPTS,Avg FPTS
"Lamar Jackson QB • BAL",QB,301,17.71
"Joe Burrow QB • CIN",QB,294,17.29
"Josh Allen QB • BUF",QB,277,16.29
"Baker Mayfield QB • TB",QB,273,16.06
"Jared Goff QB • DET",QB,250,14.71
"Jayden Daniels QB • WAS",QB,235,13.82
"Sam Darnold QB • SEA",QB,232,13.65
"Bo Nix QB • DEN",QB,226,13.29
"Jalen Hurts QB • PHI",QB,225,15.00
"Kyler Murray QB • MIN",QB,203,11.94
"Patrick Mahomes QB • KC",QB,193,12.06
"Saquon Barkley RB • PHI",RB,192,12.00
"Derrick Henry RB • BAL",RB,191,11.24
"Jahmyr Gibbs RB • DET",RB,190,11.18
"Brock Purdy QB • SF",QB,188,12.53
"Aaron Rodgers QB • PIT",QB,185,10.88
"Justin Herbert QB • LAC",QB,184,10.82
"Ja'Marr Chase WR • CIN",WR,181,10.65
"Geno Smith QB • NYJ",QB,176,10.35
"Jordan Love QB • GB",QB,174,11.60
"Chris Boswell K • PIT",K,171,10.06
"Brandon Aubrey K • DAL",K,164,9.65
"James Cook RB • BUF",RB,159,9.94
"Cameron Dicker K • LAC",K,159,9.35
"Caleb Williams QB • CHI",QB,157,9.24
"Bijan Robinson RB • ATL",RB,157,9.24
"Ka'imi Fairbairn K • HOU",K,155,9.12
"Josh Jacobs RB • GB",RB,152,8.94
"Chase McLaughlin K • TB",K,152,8.94
"C.J. Stroud QB • HOU",QB,149,8.76
"Jason Sanders K • NYJ",K,149,8.76
"Kyren Williams RB • LAR",RB,148,9.25
"Jake Bates K • DET",K,148,8.71
"Matthew Stafford QB • LAR",QB,144,9.00
"Wil Lutz K • DEN",K,144,8.47
"Bryce Young QB • CAR",QB,140,10.00
"Jonathan Taylor RB • IND",RB,137,9.79
"Tyler Bass K • BUF",K,135,7.94
"Kirk Cousins QB • LV",QB,134,9.57
"Jake Elliott K • PHI",K,132,7.76
"Daniel Carlson K • LV",K,132,7.76
"Justin Tucker K • BAL",K,132,7.76
"Tua Tagovailoa QB • ATL",QB,131,11.91
"Matt Gay K • LV",K,129,8.06
"Broncos DST • DEN",DST,127,7.47
"Drake Maye QB • NE",QB,125,9.62
"Joshua Karty K • ARI",K,125,7.35
"Amon-Ra St. Brown WR • DET",WR,124,7.29
"Jason Myers K • SEA",K,124,7.29
"Joe Mixon RB • HOU",RB,122,8.71
"Justin Jefferson WR • MIN",WR,122,7.18
"Terry McLaurin WR • WAS",WR,121,7.12
"Russell Wilson QB • NYG",QB,119,10.82
"De'Von Achane RB • MIA",RB,119,7.00
"Blake Grupe K • IND",K,118,6.94
"Will Reichard K • MIN",K,118,9.08
"Chuba Hubbard RB • CAR",RB,115,7.67
