MADDEN DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Egyptian Magicians,11,6,0,0.647,915.0,885.0,2.0
Homers Heroes,11,6,0,0.647,1123.0,940.0,5.0
P-Funk All Stars,10,7,0,0.588,933.0,874.0,1.0
LA Losers,9,8,0,0.529,923.0,927.0,2.0
Rock Stars,7,10,0,0.412,850.0,909.0,1.0
SUMMERALL DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Munich Cowboys,9,8,0,0.529,874.0,918.0,1.0
Leeds United,8,9,0,0.471,885.0,861.0,2.0
Generals,7,10,0,0.412,857.0,945.0,1.0
Polish Power,7,10,0,0.412,818.0,861.0,1.0
Masters of Disaster,6,11,0,0.353,805.0,863.0,1.0
