round,matchup_id,top_team,top_score,bottom_team,bottom_score
1,playoffBracket_1_1,"Munich Cowboys",54,"Generals",35
1,playoffBracket_1_2,"Homers Heroes",27,"Masters of Disaster",96
1,playoffBracket_1_3,"Rock Stars",77,"Kentucky Football Club",61
1,playoffBracket_1_4,"Egyptian Magicians",35,"Leeds United",64
1,playoffBracket_1_5,"LA Losers",52,"Relegators",88
