record,team,value
"Most Points Scored, Season","Homers Heroes",992.0
"Most Points Scored, Game","Homers Heroes",102
"Least Points Scored, Season","Masters of Disaster",805.0
"Most Points Allowed, Season","LA Losers",967.0
"Least Points Allowed, Season","Rock Stars",833.0
"Highest Average Game Score, Season","Homers Heroes",58.35
"Lowest Average Game Score, Season","Masters of Disaster",47.35
"Least Points Scored, Game","Polish Power",15
"Most Points Allowed, Game","P-Funk All Stars",102
"Least Points Allowed, Game","Rock Stars",15
"Highest Winning Percentage, Season","Egyptian Magicians",0.647
"Lowest Winning Percentage, Season","Generals",0.353
"Most Wins, Season","Egyptian Magicians",11
"Least Wins, Season","LA Losers",5
"Best Margin of Victory, Game","Rock Stars",63
"Worst Margin of Defeat, Game","Polish Power",-63
"Best Average Point Differential, Season","Egyptian Magicians",8.29
"Worst Average Point Differential, Season","LA Losers",-9.41
"Longest Winning Streak, Season","Egyptian Magicians",5
"Longest Losing Streak, Season","Generals",10
"Best Power Ranking, Season","Egyptian Magicians",29
"Worst Power Ranking, Season","LA Losers",4.5
"Most High Week Scores, Season","Rock Stars",3
