Team,POS,Player,Salary,ELIG,Total FPTS,Active FPTS,Year
"Munich Cowboys",RB,"Ezekiel Elliott RB • LAC",72,RB,117.0,114.0,2021
"Munich Cowboys",WR,"A.J. Brown WR • PHI",53,WR,66.0,42.0,2021
"Munich Cowboys",RB,"David Montgomery RB • DET",40,RB,75.0,50.0,2021
"Munich Cowboys",WR,"Calvin Ridley WR • TEN",56,WR,22.0,22.0,2021
"Munich Cowboys",TE,"T.J. Hockenson TE • MIN",11,TE,42.0,11.0,2021
"Munich Cowboys",RES,"Darrell Henderson Jr. RB •",18,RB,74.0,44.0,2021
"Munich Cowboys",RES,"Kyle Pitts TE • ATL",20,TE,43.0,25.0,2021
"Munich Cowboys",WR,"Marquise Brown WR • KC",3,WR,78.0,56.0,2021
"Munich Cowboys",RES,"Robbie Chosen WR • MIA",8,WR,40.0,18.0,2021
"Munich Cowboys",RES,"Tony Pollard RB • TEN",4,RB,51.0,0.0,2021
"Munich Cowboys",K,"Matt Gay K • WAS",1,K,155.0,49.0,2021
"Munich Cowboys",RES,"Trey Sermon RB • PIT",6,RB,11.0,0.0,2021
"Munich Cowboys",QB,"Jalen Hurts QB • PHI",1,QB,202.0,202.0,2021
"Munich Cowboys",DST,"Broncos DST • DEN",1,DST,76.0,4.0,2021
"Munich Cowboys",RES,"Darnell Mooney WR • ATL",1,WR,64.0,19.0,2021
"Munich Cowboys",RES,"Trey Lance QB • LAC",5,QB,47.0,0.0,2021
"DONORA DRAGONS",RB,"Christian McCaffrey RB • SF",101,RB,37.0,37.0,2021
"DONORA DRAGONS",RB,"Saquon Barkley RB • PHI",55,RB,52.0,36.0,2021
"DONORA DRAGONS",QB,"Dak Prescott QB • DAL",23,QB,234.0,234.0,2021
"DONORA DRAGONS",WR,"Amari Cooper WR • BUF",28,WR,78.0,77.0,2021
"DONORA DRAGONS",WR,"Diontae Johnson WR • CLE",12,WR,96.0,78.0,2021
"DONORA DRAGONS",RES,"Myles Gaskin RB • JAC",9,RB,62.0,9.0,2021
"DONORA DRAGONS",RES,"Javonte Williams RB • DAL",8,RB,79.0,46.0,2021
"DONORA DRAGONS",WR,"Brandon Aiyuk WR • SF",12,WR,56.0,5.0,2021
"DONORA DRAGONS",RES,"Jerry Jeudy WR • CLE",11,WR,14.0,3.0,2021
"DONORA DRAGONS",RES,"Ja'Marr Chase WR • CIN",8,WR,163.0,135.0,2021
"DONORA DRAGONS",RES,"Leonard Fournette RB •",4,RB,101.0,60.0,2021
"DONORA DRAGONS",RES,"Brandin Cooks WR • NO",4,WR,79.0,6.0,2021
