round,matchup_id,top_team,top_score,bottom_team,bottom_score
1,playoffBracket_1_1,"Egyptian Magicians",41,"Generals",38
1,playoffBracket_1_2,"LA Losers",52,"Donora Dragons",48
1,playoffBracket_1_3,"Munich Cowboys",100,"Leeds United",61
1,playoffBracket_1_4,"Rock Stars",60,"Kentucky Football Club",82
1,playoffBracket_1_5,"Masters of Disaster",44,"Homers Heroes",63
