SUMMERALL DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Masters of Disaster,12,4,0,0.750,985.0,933.0,3
Homer's Zeroes (feat. Homer),10,6,0,0.625,990.0,924.0,0
Rock Stars,8,8,0,0.500,984.0,991.0,1
Donora Dragons,7,9,0,0.438,976.0,990.0,0.5
Kentucky Football Club,4,12,0,0.250,834.0,1005.0,2
MADDEN DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
LA Losers,11,5,0,0.688,967.0,850.0,1.5
Generals,9,7,0,0.562,1035.0,884.0,4
Egyptian Magicians,6,9,1,0.406,1000.0,1158.0,2
Munich Cowboys,6,9,1,0.406,903.0,982.0,1
Leeds United,6,10,0,0.375,975.0,932.0,1
