MADDEN DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Leeds United,10,6,1,0.618,959.0,874.0,3
Munich Cowboys,8,9,0,0.471,891.0,925.0,1
Donora Dragons,5,11,1,0.324,850.0,986.0,0
LA Losers,5,12,0,0.294,878.0,985.0,1
Generals,4,13,0,0.235,724.0,1023.0,0
SUMMERALL DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Masters of Disaster,12,5,0,0.706,950.0,791.0,4
Homers Heroes,11,6,0,0.647,894.0,897.0,0
Polish Power,10,7,0,0.588,1018.0,875.0,3
Egyptian Magicians,9,7,1,0.559,1027.0,931.0,3
Rock Stars,9,7,1,0.559,976.0,880.0,2
