MADDEN DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Donora Dragons,10,5,1,0.656,884.0,855.0,0
Egyptian Magicians,7,8,1,0.469,1038.0,996.0,4
Rock Stars,7,8,1,0.469,918.0,934.0,2
LA Losers,7,9,0,0.438,1046.0,1047.0,3
Leeds United,6,10,0,0.375,893.0,1038.0,2
SUMMERALL DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Generals,13,3,0,0.812,1097.0,868.0,2
Homers Heroes,9,7,0,0.562,1014.0,916.0,2
Polish Power,7,8,1,0.469,917.0,977.0,0
Masters of Disaster,6,9,1,0.406,865.0,943.0,1
Munich Cowboys,5,10,1,0.344,946.0,1044.0,0
