Team,POS,Player,Salary,ELIG,Total FPTS,Active FPTS
"",RB,"Jonathan Taylor RB • IND",80,RB,194,
"",RB,"Bucky Irving RB • TB",60,RB,53,
"",WR,"Amon-Ra St. Brown WR • DET",65,WR,118,
"",TE,"Trey McBride TE • ARI",11,TE,112,
"",WR,"Calvin Ridley WR • TEN",14,WR,11,
"",QB,"Bo Nix QB • DEN",4,QB,210,
"",WR,"Jaxon Smith-Njigba WR • SEA",32,WR,137,
"",WR,"Rashee Rice WR • KC",7,WR,58,
"",RB,"Tank Bigsby RB • PHI",2,RB,25,
"",WR,"Emeka Egbuka WR • TB",8,WR,72,
"",RB,"Zach Charbonnet RB • SEA",1,RB,96,
"",RB,"Tyrone Tracy Jr. RB • NYG",5,RB,54,
"",DST,"Vikings DST • MIN",2,DST,102,
"",QB,"Drake Maye QB • NE",1,QB,242,
"",TE,"Tyler Warren TE • IND",1,TE,54,
"",K,"Cameron Dicker K • LAC",1,K,153,
"MASTERS OF DISASTER",RB,"Derrick Henry RB • BAL",82,RB,163,
"MASTERS OF DISASTER",QB,"Jayden Daniels QB • WAS",57,QB,71,
"MASTERS OF DISASTER",TE,"George Kittle TE • SF",39,TE,64,
"MASTERS OF DISASTER",QB,"Kyler Murray QB • MIN",8,QB,48,
"MASTERS OF DISASTER",RB,"D'Andre Swift RB • CHI",17,RB,106,
"MASTERS OF DISASTER",WR,"DK Metcalf WR • PIT",18,WR,73,
"MASTERS OF DISASTER",RB,"Breece Hall RB • NYJ",26,RB,85,
"MASTERS OF DISASTER",K,"Wil Lutz K • DEN",1,K,127,
"MASTERS OF DISASTER",WR,"DJ Moore WR • BUF",12,WR,65,
"MASTERS OF DISASTER",WR,"Tetairoa McMillan WR • CAR",10,WR,78,
"MASTERS OF DISASTER",RB,"Tony Pollard RB • TEN",17,RB,71,
"MASTERS OF DISASTER",WR,"Chris Olave WR • NO",4,WR,97,
"MASTERS OF DISASTER",DST,"Steelers DST • PIT",1,DST,95,
"MASTERS OF DISASTER",WR,"Jordan Addison WR • MIN",2,WR,49,
"MASTERS OF DISASTER",TE,"T.J. Hockenson TE • MIN",1,TE,28,
"MASTERS OF DISASTER",RB,"Jaylen Warren RB • PIT",5,RB,91,
"LEEDS UNITED",WR,"Justin Jefferson WR • MIN",78,WR,49,
"LEEDS UNITED",QB,"Patrick Mahomes QB • KC",25,QB,200,
"LEEDS UNITED",RB,"Omarion Hampton RB • LAC",39,RB,55,
"LEEDS UNITED",RB,"Kenneth Walker III RB • KC",39,RB,73,
"LEEDS UNITED",WR,"Davante Adams WR • LAR",22,WR,114,
"LEEDS UNITED",RB,"James Conner RB • ARI",35,RB,14,
"LEEDS UNITED",QB,"Dak Prescott QB • DAL",9,QB,232,
"LEEDS UNITED",WR,"Mike Evans WR • SF",35,WR,32,
"LEEDS UNITED",DST,"Eagles DST • PHI",2,DST,97,
"LEEDS UNITED",K,"Matt Gay K • LV",1,K,81,
"LEEDS UNITED",TE,"Travis Kelce TE • KC",8,TE,57,
"LEEDS UNITED",WR,"Jauan Jennings WR • MIN",3,WR,75,
"LEEDS UNITED",TE,"Isaiah Likely TE • NYG",1,TE,14,
"LEEDS UNITED",QB,"Michael Penix Jr. QB • ATL",1,QB,78,
"LEEDS UNITED",WR,"Matthew Golden WR • GB",1,WR,10,
"LEEDS UNITED",RB,"Jaydon Blue RB • DAL",1,RB,10,
"HOMERS HEROES",RB,"Jahmyr Gibbs RB • DET",81,RB,178,
"HOMERS HEROES",RB,"Ashton Jeanty RB • LV",68,RB,108,
"HOMERS HEROES",WR,"CeeDee Lamb WR • DAL",83,WR,63,
"HOMERS HEROES",QB,"Brock Purdy QB • SF",9,QB,139,
"HOMERS HEROES",WR,"A.J. Brown WR • NE",38,WR,80,
"HOMERS HEROES",QB,"Justin Fields QB • KC",4,QB,94,
"HOMERS HEROES",WR,"Jayden Reed WR • GB",2,WR,12,
"HOMERS HEROES",WR,"Travis Hunter WR • JAC",5,WR,15,
"HOMERS HEROES",TE,"David Njoku TE • LAC",2,TE,31,
"HOMERS HEROES",WR,"Khalil Shakir WR • BUF",2,WR,50,
"HOMERS HEROES",DST,"Lions DST • DET",1,DST,85,
"HOMERS HEROES",WR,"Jakobi Meyers WR • JAC",1,WR,42,
"HOMERS HEROES",K,"Jake Bates K • DET",1,K,139,
"HOMERS HEROES",RB,"Travis Etienne RB • NO",1,RB,125,
"HOMERS HEROES",RB,"Rhamondre Stevenson RB • NE",1,RB,86,
"HOMERS HEROES",DST,"Giants DST • NYG",1,DST,66,
"ROCK STARS",RB,"Christian McCaffrey RB • SF",74,RB,175,
"ROCK STARS",RB,"Kyren Williams RB • LAR",52,RB,124,
"ROCK STARS",QB,"Baker Mayfield QB • TB",40,QB,186,
"ROCK STARS",WR,"Nico Collins WR • HOU",63,WR,91,
"ROCK STARS",WR,"Stefon Diggs WR • NE",4,WR,62,
"ROCK STARS",RB,"Chuba Hubbard RB • CAR",38,RB,41,
"ROCK STARS",RB,"Jacory Croskey-Merritt RB • WAS",3,RB,79,
"ROCK STARS",WR,"Ricky Pearsall WR • SF",12,WR,19,
"ROCK STARS",TE,"Tucker Kraft TE • GB",3,TE,53,
"ROCK STARS",DST,"Packers DST • GB",2,DST,63,
"ROCK STARS",WR,"Jerry Jeudy WR • CLE",4,WR,30,
"ROCK STARS",K,"Evan McPherson K • CIN",1,K,121,
"ROCK STARS",WR,"Deebo Samuel WR • WAS",1,WR,57,
"ROCK STARS",QB,"C.J. Stroud QB • HOU",1,QB,145,
"ROCK STARS",RB,"Brian Robinson Jr. RB • ATL",1,RB,19,
"ROCK STARS",WR,"Amari Cooper WR • LV",1,WR,0,
"GENERALS",QB,"Lamar Jackson QB • BAL",67,QB,147,
"GENERALS",RB,"James Cook RB • BUF",46,RB,162,
"GENERALS",RB,"De'Von Achane RB • MIA",63,RB,140,
"GENERALS",TE,"Brock Bowers TE • LV",40,TE,68,
"GENERALS",RB,"David Montgomery RB • HOU",15,RB,77,
"GENERALS",DST,"Broncos DST • DEN",4,DST,113,
"GENERALS",WR,"DeVonta Smith WR • PHI",15,WR,61,
"GENERALS",WR,"Rashod Bateman WR • BAL",1,WR,18,
"GENERALS",WR,"Courtland Sutton WR • DEN",21,WR,80,
"GENERALS",WR,"George Pickens WR • DAL",7,WR,113,
"GENERALS",WR,"Rome Odunze WR • CHI",2,WR,60,
"GENERALS",WR,"Jaylen Waddle WR • DEN",9,WR,70,
"GENERALS",K,"Chase McLaughlin K • TB",1,K,139,
"GENERALS",RB,"Ray Davis RB • BUF",1,RB,27,
"GENERALS",RB,"Nick Chubb RB • HOU",2,RB,32,
"GENERALS",WR,"Keon Coleman WR • BUF",1,WR,36,
"LA LOSERS",QB,"Jalen Hurts QB • PHI",59,QB,215,
"LA LOSERS",WR,"Puka Nacua WR • LAR",41,WR,138,
"LA LOSERS",RB,"TreVeyon Henderson RB • NE",22,RB,103,
"LA LOSERS",RB,"Chase Brown RB • CIN",49,RB,113,
"LA LOSERS",WR,"Garrett Wilson WR • NYJ",23,WR,37,
"LA LOSERS",TE,"Kyle Pitts TE • ATL",3,TE,60,
"LA LOSERS",WR,"Marvin Harrison Jr. WR • ARI",26,WR,44,
"LA LOSERS",RB,"RJ Harvey RB • DEN",15,RB,98,
"LA LOSERS",WR,"Zay Flowers WR • BAL",22,WR,83,
"LA LOSERS",WR,"Tyreek Hill WR • MIA",28,WR,15,
"LA LOSERS",RB,"Austin Ekeler RB • WAS",1,RB,2,
"LA LOSERS",DST,"Bills DST • BUF",1,DST,87,
"LA LOSERS",K,"Tyler Bass K • BUF",1,K,0,
"LA LOSERS",QB,"Tua Tagovailoa QB • ATL",1,QB,127,
"LA LOSERS",RB,"Ollie Gordon II RB • MIA",1,RB,27,
"LA LOSERS",RB,"Raheem Mostert RB • LV",1,RB,2,
"EGYPTIAN MAGICIANS",RB,"Saquon Barkley RB • PHI",86,RB,109,
"EGYPTIAN MAGICIANS",WR,"Malik Nabers WR • NYG",57,WR,23,
"EGYPTIAN MAGICIANS",WR,"Brian Thomas Jr. WR • JAC",57,WR,39,
