record,team,value
"Most Points Scored, Season","Munich Cowboys",1043.0
"Most Points Scored, Game","Egyptian Magicians",117.0000
"Least Points Scored, Season","Relegators",862.0
"Most Points Allowed, Season","Egyptian Magicians",1051.0
"Least Points Allowed, Season","LA Losers",802.0
"Highest Average Game Score, Season","Munich Cowboys",65.19
"Lowest Average Game Score, Season","Relegators",53.88
"Least Points Scored, Game","Masters of Disaster",25.0000
"Most Points Allowed, Game","Munich Cowboys",117.0000
"Least Points Allowed, Game","Munich Cowboys",25.0000
"Highest Winning Percentage, Season","Generals",0.688
"Lowest Winning Percentage, Season","Masters of Disaster",0.312
"Most Wins, Season","Generals",11
"Least Wins, Season","Masters of Disaster",5
"Best Margin of Victory, Game","Masters of Disaster",55
"Worst Margin of Defeat, Game","Egyptian Magicians",-55
"Best Average Point Differential, Season","Homers Heroes",8.38
"Worst Average Point Differential, Season","Egyptian Magicians",-7.56
"Longest Winning Streak, Season","Generals",7
"Longest Losing Streak, Season","Masters of Disaster",4
"Best Power Ranking, Season","Generals",27.5
"Worst Power Ranking, Season","Egyptian Magicians",6.5
"Most High Week Scores, Season","Homers Heroes",3
