Team,ELIG,Total Salary,Years
"DONORA DRAGONS","RB",407,3
"DONORA DRAGONS","WR",337,3
"DONORA DRAGONS","QB",141,3
"DONORA DRAGONS","TE",6,3
"DONORA DRAGONS","DST",5,3
"DONORA DRAGONS","K",4,3
"EGYPTIAN MAGICIANS","WR",561,4
"EGYPTIAN MAGICIANS","RB",402,4
"EGYPTIAN MAGICIANS","TE",119,4
"EGYPTIAN MAGICIANS","QB",92,4
"EGYPTIAN MAGICIANS","K",16,4
"EGYPTIAN MAGICIANS","DST",5,4
"GENERALS","RB",470,4
"GENERALS","WR",367,4
"GENERALS","QB",256,4
"GENERALS","TE",69,4
"GENERALS","K",12,4
"GENERALS","DST",6,4
"HOMERS HEROES","RB",583,4
"HOMERS HEROES","WR",390,4
"HOMERS HEROES","QB",156,4
"HOMERS HEROES","TE",39,4
"HOMERS HEROES","K",5,4
"HOMERS HEROES","DST",4,4
"KENTUCKY FOOTBALL CLUB","RB",508,4
"KENTUCKY FOOTBALL CLUB","WR",357,4
"KENTUCKY FOOTBALL CLUB","QB",190,4
"KENTUCKY FOOTBALL CLUB","TE",120,4
"KENTUCKY FOOTBALL CLUB","K",10,4
"KENTUCKY FOOTBALL CLUB","DST",7,4
"LA LOSERS","RB",599,4
"LA LOSERS","WR",444,4
"LA LOSERS","QB",122,4
"LA LOSERS","K",11,4
"LA LOSERS","TE",8,4
"LA LOSERS","DST",4,4
"LEEDS UNITED","WR",580,4
"LEEDS UNITED","RB",479,4
"LEEDS UNITED","QB",94,4
"LEEDS UNITED","TE",35,4
"LEEDS UNITED","DST",7,4
"LEEDS UNITED","K",4,4
"MASTERS OF DISASTER","WR",604,4
"MASTERS OF DISASTER","RB",293,4
"MASTERS OF DISASTER","TE",193,4
"MASTERS OF DISASTER","QB",89,4
"MASTERS OF DISASTER","K",9,4
"MASTERS OF DISASTER","DST",6,4
"Munich Cowboys","WR",557,4
"Munich Cowboys","RB",484,4
"Munich Cowboys","TE",78,4
"Munich Cowboys","QB",67,4
"Munich Cowboys","DST",6,4
"Munich Cowboys","K",5,4
"RELEGATORS","RB",197,1
"RELEGATORS","WR",52,1
"RELEGATORS","QB",36,1
"RELEGATORS","TE",11,1
"RELEGATORS","K",2,1
"RELEGATORS","DST",2,1
"ROCK STARS","RB",476,4
"ROCK STARS","WR",457,4
"ROCK STARS","TE",130,4
"ROCK STARS","QB",122,4
"ROCK STARS","DST",7,4
"ROCK STARS","K",6,4
