MADDEN DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
LA Losers,12,5,0,0.706,998.0,851.0,4
Rock Stars,11,5,1,0.676,1041.0,977.0,1
Donora Dragons,11,6,0,0.647,947.0,812.0,2
Polish Power,10,7,0,0.588,894.0,915.0,1
Masters of Disaster,6,11,0,0.353,935.0,945.0,3
SUMMERALL DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Leeds United,9,8,0,0.529,953.0,955.0,1
Egyptian Magicians,7,9,1,0.441,939.0,1041.0,1
Generals,6,11,0,0.353,940.0,997.0,2
Homers Heroes,6,11,0,0.353,876.0,910.0,1
Munich Cowboys,6,11,0,0.353,814.0,934.0,1
