MADDEN DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
LA Losers,10,5,1,0.656,848.0,790.0,2
Masters of Disaster,10,6,0,0.625,980.0,923.0,1.5
Egyptian Magicians,7,9,0,0.438,875.0,884.0,0
Donora Dragons,6,9,1,0.406,796.0,832.0,1.5
Generals,6,10,0,0.375,859.0,906.0,0
SUMMERALL DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Polish Power,10,6,0,0.625,884.0,883.0,2
Rock Stars,8,7,1,0.531,837.0,894.0,2
Leeds United,8,8,0,0.500,1005.0,961.0,2
Homers Heroes,7,9,0,0.438,923.0,896.0,3
Munich Cowboys,6,9,1,0.406,902.0,940.0,2
