round,matchup_id,top_team,top_score,bottom_team,bottom_score
1,playoffBracket_1_1,"Average Joe's",60,"Leeds United",73
1,playoffBracket_1_2,"Donora Dragons",87,"Rock Stars",62
1,playoffBracket_1_3,"Egyptian Magicians",62,"Generals",81
1,playoffBracket_1_4,"LA Losers",39,"Masters of Disaster",65
1,playoffBracket_1_5,"ಠ_ಠ",41,"Munich Cowboys",46
