MADDEN DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Leeds United,10,6,1,0.618,902.0,831.0,1
Egyptian Magicians,8,8,1,0.500,1033.0,964.0,3
Polish Power,8,8,1,0.500,843.0,867.0,2
Rock Stars,7,9,1,0.441,747.0,903.0,1
P-Funk All Stars,3,14,0,0.176,654.0,844.0,0
SUMMERALL DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Masters of Disaster,11,4,2,0.706,1110.0,885.0,4
Munich Cowboys,12,5,0,0.706,889.0,816.0,0
Generals,9,8,0,0.529,969.0,954.0,3
Homers Heroes,6,9,2,0.412,911.0,930.0,2
LA Losers,6,9,2,0.412,775.0,839.0,1
