record,team,value
"Most Points Scored, Season","I hate you guys (feat. Homer)",1001.0
"Most Points Scored, Game","Rock Stars",91.0000
"Least Points Scored, Season","LA Losers",866.0
"Most Points Allowed, Season","LA Losers",1029.0
"Least Points Allowed, Season","Munich Cowboys",872.0
"Highest Average Game Score, Season","I hate you guys (feat. Homer)",62.56
"Lowest Average Game Score, Season","LA Losers",54.12
"Least Points Scored, Game","Leeds United",27.0000
"Most Points Allowed, Game","I hate you guys (feat. Homer)",91.0000
"Least Points Allowed, Game","Masters of Disaster",27.0000
"Highest Winning Percentage, Season","Leeds United",0.750
"Lowest Winning Percentage, Season","LA Losers",0.250
"Most Wins, Season","Leeds United",12
"Least Wins, Season","Egyptian Magicians",3
"Best Margin of Victory, Game","Munich Cowboys",47
"Worst Margin of Defeat, Game","LA Losers",-47
"Best Average Point Differential, Season","Leeds United",6.12
"Worst Average Point Differential, Season","LA Losers",-10.19
"Longest Winning Streak, Season","Leeds United",8
"Longest Losing Streak, Season","Egyptian Magicians",6
"Best Power Ranking, Season","Leeds United",28
"Worst Power Ranking, Season","LA Losers",3.5
"Most High Week Scores, Season","Rock Stars",4
