record,team,value
"Most Points Scored, Season","Generals",1030.0
"Most Points Scored, Game","Homers Heroes",110
"Least Points Scored, Season","Munich Cowboys",836.0
"Most Points Allowed, Season","Leeds United",1015.0
"Least Points Allowed, Season","Homers Heroes",842.0
"Highest Average Game Score, Season","Generals",60.59
"Lowest Average Game Score, Season","Munich Cowboys",49.18
"Least Points Scored, Game","Munich Cowboys",22
"Most Points Allowed, Game","Egyptian Magicians",110
"Least Points Allowed, Game","P-Funk All Stars",22
"Highest Winning Percentage, Season","Rock Stars",0.647
"Lowest Winning Percentage, Season","Polish Power",0.353
"Most Wins, Season","Rock Stars",11
"Least Wins, Season","Polish Power",6
"Best Margin of Victory, Game","Homers Heroes",75
"Worst Margin of Defeat, Game","Egyptian Magicians",-75
"Best Average Point Differential, Season","Masters of Disaster",6.76
"Worst Average Point Differential, Season","Munich Cowboys",-7.59
"Longest Winning Streak, Season","Masters of Disaster",7
"Longest Losing Streak, Season","Polish Power",6
"Best Power Ranking, Season","Generals",28
"Worst Power Ranking, Season","Munich Cowboys",5
"Most High Week Scores, Season","Rock Stars",2.5
