SUMMERALL DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Generals,11,5,0,0.688,1086.0,893.0,4
Masters of Disaster,9,7,0,0.562,992.0,872.0,0
Rock Stars,9,7,0,0.562,975.0,988.0,3
LA Losers,6,10,0,0.375,836.0,915.0,0
Kentucky Football Club,4,12,0,0.250,832.0,1144.0,0
MADDEN DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Munich Cowboys,10,5,1,0.656,1078.0,1031.0,4
Egyptian Magicians,9,7,0,0.562,944.0,919.0,1
Donora Dragons,8,7,1,0.531,1045.0,962.0,3
Leeds United,7,9,0,0.438,1029.0,997.0,1
My hate for you, it grow,6,10,0,0.375,972.0,1068.0,0
