record,team,value
"Most Points Scored, Season","Rock Stars",1211.0
"Most Points Scored, Game","Egyptian Magicians",121.0000
"Least Points Scored, Season","Munich Cowboys",845.0
"Most Points Allowed, Season","ಠ_ಠ",1158.0
"Least Points Allowed, Season","Leeds United",858.0
"Highest Average Game Score, Season","Rock Stars",75.69
"Lowest Average Game Score, Season","Munich Cowboys",52.81
"Least Points Scored, Game","Munich Cowboys",32.0000
"Most Points Allowed, Game","Masters of Disaster",121.0000
"Least Points Allowed, Game","Average Joe's",32.0000
"Highest Winning Percentage, Season","Leeds United",0.812
"Lowest Winning Percentage, Season","ಠ_ಠ",0.188
"Most Wins, Season","Leeds United",13
"Least Wins, Season","ಠ_ಠ",3
"Best Margin of Victory, Game","Leeds United",68
"Worst Margin of Defeat, Game","ಠ_ಠ",-68
"Best Average Point Differential, Season","Leeds United",15.12
"Worst Average Point Differential, Season","ಠ_ಠ",-13.00
"Longest Winning Streak, Season","Leeds United",11
"Longest Losing Streak, Season","ಠ_ಠ",7
"Best Power Ranking, Season","Rock Stars",28
"Worst Power Ranking, Season","Munich Cowboys",4
"Most High Week Scores, Season","Rock Stars",6.5
