Team,POS,Player,Salary,ELIG,Total FPTS,Active FPTS
"EGYPTIAN MAGICIANS",DST,"Packers DST • GB",1,DST,79.0,6.0
"EGYPTIAN MAGICIANS",WR,"Chris Godwin WR • TB",11,WR,59.0,46.0
"EGYPTIAN MAGICIANS",RES,"Kadarius Toney WR • CLE",3,WR,31.0,0.0
"EGYPTIAN MAGICIANS",K,"Harrison Butker K • KC",2,K,125.0,88.0
"EGYPTIAN MAGICIANS",RES,"Brian Robinson Jr. RB • WAS",1,RB,44.0,11.0
"EGYPTIAN MAGICIANS",RES,"DeAndre Hopkins WR • BAL",11,WR,45.0,27.0
"EGYPTIAN MAGICIANS",RES,"Rashod Bateman WR • BAL",10,WR,26.0,25.0
"EGYPTIAN MAGICIANS",RES,"Rondale Moore WR • MIN",3,WR,18.0,7.0
"EGYPTIAN MAGICIANS",RES,"Treylon Burks WR • TEN",8,WR,31.0,1.0
"KENTUCKY FOOTBALL CLUB",TE,"Travis Kelce TE • KC",52,TE,159.0,125.0
"KENTUCKY FOOTBALL CLUB",QB,"Lamar Jackson QB • BAL",28,QB,155.0,145.0
"KENTUCKY FOOTBALL CLUB",RB,"D'Andre Swift RB • CHI",48,RB,75.0,35.0
"KENTUCKY FOOTBALL CLUB",RES,"Aaron Rodgers QB • NYJ",8,QB,174.0,21.0
"KENTUCKY FOOTBALL CLUB",WR,"Tyreek Hill WR • MIA",51,WR,138.0,134.0
"KENTUCKY FOOTBALL CLUB",WR,"Michael Thomas WR • NO",13,WR,23.0,23.0
"KENTUCKY FOOTBALL CLUB",RB,"Cam Akers RB • MIN",28,RB,71.0,10.0
"KENTUCKY FOOTBALL CLUB",RES,"Derek Carr QB • NO",1,QB,168.0,15.0
"KENTUCKY FOOTBALL CLUB",K,"Justin Tucker K • BAL",5,K,156.0,151.0
"KENTUCKY FOOTBALL CLUB",RES,"Damien Harris RB • BUF",16,RB,31.0,14.0
"KENTUCKY FOOTBALL CLUB",WR,"Courtland Sutton WR • DEN",22,WR,38.0,10.0
"KENTUCKY FOOTBALL CLUB",RES,"Irv Smith TE • HOU",2,TE,22.0,1.0
"KENTUCKY FOOTBALL CLUB",RES,"Amari Cooper WR • BUF",10,WR,100.0,78.0
"KENTUCKY FOOTBALL CLUB",RES,"Miles Sanders RB • DAL",6,RB,128.0,83.0
"KENTUCKY FOOTBALL CLUB",DST,"49ers DST • SF",2,DST,123.0,104.0
"KENTUCKY FOOTBALL CLUB",RES,"DeVante Parker WR •",1,WR,35.0,0.0
