Year,Team,Player,CbsPlayerId
2024,"Munich Cowboys","Joe Burrow QB • CIN",2179798
2024,"Munich Cowboys","Tyreek Hill WR • MIA",2131163
2024,"Munich Cowboys","Derrick Henry RB • BAL",2061188
2024,"Munich Cowboys","Brandon Aiyuk WR • SF",2967489
2024,"Munich Cowboys","James Conner RB • ARI",2071585
2024,"Munich Cowboys","Drake London WR • ATL",3127902
2024,"Munich Cowboys","Dalton Kincaid TE • BUF",2982991
2024,"Munich Cowboys","Jake Ferguson TE • DAL",2867159
2024,"Munich Cowboys","Jayden Reed WR • GB",2967762
2024,"Munich Cowboys","Brian Robinson Jr. RB • ATL",2741207
2024,"Munich Cowboys","Jerome Ford RB • WAS",2966543
2024,"Munich Cowboys","Terry McLaurin WR • WAS",2139279
2024,"Munich Cowboys","Browns DST • CLE",1930
2024,"Munich Cowboys","Jaylen Warren RB • PIT",3126535
2024,"Munich Cowboys","Jayden Daniels QB • WAS",3123337
2024,"Munich Cowboys","Jake Elliott K • PHI",2080295
2024,"Masters of Disaster","Ja'Marr Chase WR • CIN",2966320
2024,"Masters of Disaster","Travis Etienne RB • NO",2809206
2024,"Masters of Disaster","C.J. Stroud QB • HOU",3163079
2024,"Masters of Disaster","Mark Andrews TE • BAL",2131121
2024,"Masters of Disaster","Calvin Ridley WR • TEN",2186328
2024,"Masters of Disaster","Davante Adams WR • LAR",1893167
2024,"Masters of Disaster","George Pickens WR • DAL",3123212
2024,"Masters of Disaster","Kyler Murray QB • MIN",2180829
2024,"Masters of Disaster","Rhamondre Stevenson RB • NE",3125832
2024,"Masters of Disaster","Chris Olave WR • NO",2963666
2024,"Masters of Disaster","Courtland Sutton WR • DEN",2218461
2024,"Masters of Disaster","Zamir White RB • LV",2963641
2024,"Masters of Disaster","Cowboys DST • DAL",1908
2024,"Masters of Disaster","Javonte Williams RB • DAL",2961719
2024,"Masters of Disaster","Devin Singletary RB • NYG",2241251
2024,"Masters of Disaster","Brandon Aubrey K • DAL",2815718
2024,"Leeds United","Isiah Pacheco RB • DET",2966551
2024,"Leeds United","DK Metcalf WR • PIT",2260185
2024,"Leeds United","Justin Jefferson WR • MIN",2871343
2024,"Leeds United","Raheem Mostert RB • LV",2174957
2024,"Leeds United","Anthony Richardson QB • IND",3163263
2024,"Leeds United","Garrett Wilson WR • NYJ",3123864
2024,"Leeds United","Gus Edwards RB • LAC",2925410
2024,"Leeds United","Tony Pollard RB • TEN",2184011
2024,"Leeds United","Trey McBride TE • ARI",2963385
2024,"Leeds United","Steelers DST • PIT",1922
2024,"Leeds United","Khalil Shakir WR • BUF",2969119
2024,"Leeds United","Malik Nabers WR • NYG",26697761
2024,"Leeds United","Chris Godwin WR • TB",2818150
2024,"Leeds United","Kyle Pitts TE • ATL",2964514
2024,"Leeds United","Tyler Bass K • BUF",2188356
2024,"Leeds United","Aaron Rodgers QB • PIT",419780
2024,"Homers Heroes","Breece Hall RB • NYJ",3123469
2024,"Homers Heroes","Lamar Jackson QB • BAL",2181169
2024,"Homers Heroes","Joe Mixon RB • HOU",2131143
2024,"Homers Heroes","Nico Collins WR • HOU",2878193
2024,"Homers Heroes","DJ Moore WR • BUF",2179328
2024,"Homers Heroes","J.K. Dobbins RB • DEN",2804420
2024,"Homers Heroes","Brock Purdy QB • SF",2961306
2024,"Homers Heroes","Mike Evans WR • SF",1824909
2024,"Homers Heroes","Christian Kirk WR • SF",2180820
2024,"Homers Heroes","Dallas Goedert TE • PHI",2132551
2024,"Homers Heroes","Romeo Doubs WR • NE",2961886
2024,"Homers Heroes","Aaron Jones RB • MIN",2071937
2024,"Homers Heroes","Justin Tucker K • BAL",1985374
2024,"Homers Heroes","Brandin Cooks WR • BUF",1880880
2024,"Homers Heroes","Xavier Worthy WR • KC",26730787
2024,"Homers Heroes","Texans DST • HOU",1932
2024,"Rock Stars","Amon-Ra St. Brown WR • DET",2967690
2024,"Rock Stars","Patrick Mahomes QB • KC",2142052
2024,"Rock Stars","Puka Nacua WR • LAR",3121687
2024,"Rock Stars","James Cook RB • BUF",2975698
2024,"Rock Stars","D'Andre Swift RB • CHI",2871710
2024,"Rock Stars","Rachaad White RB • WAS",3169147
2024,"Rock Stars","Stefon Diggs WR • NE",2000038
2024,"Rock Stars","Rashee Rice WR • KC",3124978
2024,"Rock Stars","Jets DST • NYJ",1919
2024,"Rock Stars","Younghoe Koo K • NYJ",2820093
2024,"Rock Stars","Keenan Allen WR • LAC",1737096
2024,"Rock Stars","Brock Bowers TE • LV",26693971
2024,"Rock Stars","Justin Herbert QB • LAC",2221960
2024,"Rock Stars","Josh Palmer WR • BUF",2867325
2024,"Rock Stars","Chuba Hubbard RB • CAR",2865693
2024,"Rock Stars","Evan Engram TE • DEN",2079887
2024,"Generals","Jalen Hurts QB • PHI",2240246
2024,"Generals","Kyren Williams RB • LAR",3121836
2024,"Generals","Jahmyr Gibbs RB • DET",3162723
2024,"Generals","DeVonta Smith WR • PHI",2866975
2024,"Generals","George Kittle TE • SF",2818265
2024,"Generals","Jaylen Waddle WR • DEN",2962110
2024,"Generals","David Montgomery RB • HOU",2261252
2024,"Generals","Bengals DST • CIN",1907
2024,"Generals","Rome Odunze WR • CHI",3162979
2024,"Generals","Jaxon Smith-Njigba WR • SEA",3162959
2024,"Generals","Ka'imi Fairbairn K • HOU",1996562
2024,"Generals","Dalton Schultz TE • HOU",2136748
2024,"Generals","Tyler Allgeier RB • ARI",2975590
2024,"Generals","Ezekiel Elliott RB •",2060769
2024,"Generals","Diontae Johnson WR • CLE",2194164
2024,"Generals","DJ Chark WR • ATL",2131689
2024,"LA Losers","Christian McCaffrey RB • SF",2136743
2024,"LA Losers","Saquon Barkley RB • PHI",2185957
