Year,Team,Player,CbsPlayerId
2024,"LA Losers","Marvin Harrison Jr. WR • ARI",26701883
2024,"LA Losers","Tua Tagovailoa QB • ATL",2741209
2024,"LA Losers","Cooper Kupp WR • SEA",2006951
2024,"LA Losers","Tank Dell WR • HOU",2963970
2024,"LA Losers","Alvin Kamara RB • NO",2082721
2024,"LA Losers","Ravens DST • BAL",1903
2024,"LA Losers","Daniel Carlson K • LV",2079862
2024,"LA Losers","Jerry Jeudy WR • CLE",2741201
2024,"LA Losers","Isaiah Likely TE • NYG",2961906
2024,"LA Losers","Jared Goff QB • DET",2061053
2024,"LA Losers","Kirk Cousins QB • LV",1272574
2024,"LA Losers","Jakobi Meyers WR • JAC",2183835
2024,"LA Losers","Trey Benson RB • ARI",3176915
2024,"LA Losers","Jonathon Brooks RB • CAR",26730706
2024,"Egyptian Magicians","A.J. Brown WR • NE",2258303
2024,"Egyptian Magicians","Josh Jacobs RB • GB",2257876
2024,"Egyptian Magicians","Dak Prescott QB • DAL",1824864
2024,"Egyptian Magicians","Travis Kelce TE • KC",1725130
2024,"Egyptian Magicians","Deebo Samuel WR • WAS",2139735
2024,"Egyptian Magicians","Zack Moss RB • CIN",2240516
2024,"Egyptian Magicians","Amari Cooper WR • LV",1984220
2024,"Egyptian Magicians","Michael Pittman WR • PIT",2240188
2024,"Egyptian Magicians","Jason Myers K • SEA",2169640
2024,"Egyptian Magicians","Bears DST • CHI",1906
2024,"Egyptian Magicians","Nick Chubb RB • HOU",2131579
2024,"Egyptian Magicians","Blake Corum RB • LAR",3169252
2024,"Egyptian Magicians","Chase Brown RB • CIN",2965160
2024,"Egyptian Magicians","Marquise Brown WR • PHI",2804128
2024,"Egyptian Magicians","Curtis Samuel WR • BUF",2131252
2024,"Egyptian Magicians","Keon Coleman WR • BUF",26717289
2024,"Kentucky Football Club","CeeDee Lamb WR • DAL",2865251
2024,"Kentucky Football Club","Josh Allen QB • BUF",2181054
2024,"Kentucky Football Club","De'Von Achane RB • MIA",3171161
2024,"Kentucky Football Club","Sam LaPorta TE • DET",3124197
2024,"Kentucky Football Club","Trevor Lawrence QB • JAC",2967185
2024,"Kentucky Football Club","Austin Ekeler RB • WAS",2820090
2024,"Kentucky Football Club","Najee Harris RB • LAC",2741200
2024,"Kentucky Football Club","Tee Higgins WR • CIN",2809208
2024,"Kentucky Football Club","DeAndre Hopkins WR • BAL",1737078
2024,"Kentucky Football Club","Chiefs DST • KC",1914
2024,"Kentucky Football Club","Jake Moody K • WAS",2968527
2024,"Kentucky Football Club","Rashid Shaheed WR • SEA",2250863
2024,"Kentucky Football Club","Tyjae Spears RB • TEN",3122588
2024,"Kentucky Football Club","Ray Davis RB • BUF",3123108
2024,"Kentucky Football Club","Rico Dowdle RB • PIT",2252798
2024,"Kentucky Football Club","Gabe Davis WR • BUF",2804813
2024,"Relegators","Bijan Robinson RB • ATL",3168163
2024,"Relegators","Kenneth Walker III RB • KC",3121372
2024,"Relegators","Jonathan Taylor RB • IND",2866395
2024,"Relegators","Harrison Butker K • KC",2078888
2024,"Relegators","49ers DST • SF",1925
2024,"Relegators","Jordan Love QB • GB",2239997
2024,"Relegators","Caleb Williams QB • CHI",26695775
2024,"Relegators","Christian Watson WR • GB",2869806
2024,"Relegators","Zay Flowers WR • BAL",3127049
2024,"Relegators","Jameson Williams WR • DET",3125968
2024,"Relegators","David Njoku TE • LAC",2136474
2024,"Relegators","Jordan Mason RB • MIN",2967536
2024,"Relegators","Pat Freiermuth TE • PIT",2961270
2024,"Relegators","Jordan Addison WR • MIN",3162290
2024,"Relegators","Ladd McConkey WR • LAC",3163962
2024,"Relegators","Tyler Lockett WR • LV",1860834
