MADDEN DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Leeds United,13,4,1,0,934,775,1
LA Losers,12,4,1,0,1068,906,3
Rock Stars,8,9,0,0,911,915,2
Generals,7,10,0,0,880,948,1
Munich Cowboys,6,10,1,0,861,1046,0
SUMMERALL DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Polish Power,10,6,1,0,1048,833,4
Egyptian Magicians,8,9,0,0,901,912,1
Magical Mystery Men,7,10,0,0,861,994,2
Masters of Disaster,6,10,1,0,935,999,1
P-Funk All Stars,6,11,0,0,881,952,2
