MADDEN DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Leeds United,13,3,0,0.812,1100.0,858.0,2.5
Rock Stars,11,5,0,0.688,1211.0,1041.0,6.5
Generals,7,9,0,0.438,1030.0,1069.0,0
Masters of Disaster,6,10,0,0.375,995.0,1089.0,1
ಠ_ಠ,3,13,0,0.188,950.0,1158.0,0
SUMMERALL DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Average Joe's,12,4,0,0.750,1025.0,899.0,0
Donora Dragons,9,7,0,0.562,1062.0,971.0,2
Egyptian Magicians,8,8,0,0.500,1034.0,985.0,3
LA Losers,6,10,0,0.375,857.0,996.0,1
Munich Cowboys,5,11,0,0.312,845.0,1043.0,0
