MADDEN DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Masters of Disaster,9,7,0,0.562,974.0,886.0,3
Rock Stars,9,7,0,0.562,927.0,922.0,4
Leeds United,9,7,0,0.562,895.0,856.0,0
Egyptian Magicians,7,9,0,0.438,848.0,885.0,1
Generals,7,9,0,0.438,811.0,894.0,1
SUMMERALL DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Donora Dragons,10,6,0,0.625,909.0,879.0,2
LA Losers,8,8,0,0.500,851.0,852.0,1
Polish Power,8,8,0,0.500,823.0,778.0,1
Homers Heroes,7,9,0,0.438,892.0,871.0,3
Munich Cowboys,6,10,0,0.375,848.0,955.0,0
