round,matchup_id,top_team,top_score,bottom_team,bottom_score
1,playoffBracket_1_1,"Leeds United",73,"Masters of Disaster",75
1,playoffBracket_1_2,"Rock Stars",59,"My hate for you, it grow",78
1,playoffBracket_1_3,"Egyptian Magicians",46,"Generals",65
1,playoffBracket_1_4,"Munich Cowboys",49,"Donora Dragons",34
1,playoffBracket_1_5,"LA Losers",44,"Kentucky Football Club",77
