round,matchup_id,top_team,top_score,bottom_team,bottom_score
1,playoffBracket_1_1,"Leeds United",43,"Munich Cowboys",22
1,playoffBracket_1_2,"Egyptian Magicians",38,"Masters of Disaster",86
1,playoffBracket_1_3,"Generals",49,"Polish Power",32
1,playoffBracket_1_4,"Homers Heroes",41,"Rock Stars",29
1,playoffBracket_1_5,"P-Funk All Stars",25,"LA Losers",55
