week,away_team,home_team,away_result,home_result
1,"Rock Stars","ಠ_ಠ",108.0,86.0
1,"Donora Dragons","Munich Cowboys",88.0,55.0
1,"Masters of Disaster","Average Joe's",71.0,73.0
1,"Egyptian Magicians","LA Losers",68.0,58.0
1,"Generals","Leeds United",65.0,54.0
2,"Generals","Masters of Disaster",74.0,49.0
2,"LA Losers","Munich Cowboys",62.0,74.0
2,"ಠ_ಠ","Egyptian Magicians",56.0,81.0
2,"Average Joe's","Donora Dragons",66.0,59.0
2,"Leeds United","Rock Stars",58.0,73.0
3,"Masters of Disaster","Leeds United",38.0,55.0
3,"Rock Stars","Donora Dragons",88.0,69.0
3,"Munich Cowboys","Egyptian Magicians",53.0,48.0
3,"Average Joe's","LA Losers",59.0,37.0
3,"ಠ_ಠ","Generals",55.0,65.0
4,"Generals","Rock Stars",77.0,80.0
4,"Donora Dragons","Egyptian Magicians",60.0,44.0
4,"Masters of Disaster","ಠ_ಠ",78.0,70.0
4,"Munich Cowboys","Average Joe's",49.0,66.0
4,"LA Losers","Leeds United",41.0,80.0
5,"Leeds United","ಠ_ಠ",113.0,45.0
5,"Donora Dragons","LA Losers",50.0,51.0
5,"Rock Stars","Masters of Disaster",79.0,38.0
5,"Egyptian Magicians","Average Joe's",74.0,65.0
5,"Munich Cowboys","Generals",85.0,59.0
6,"ಠ_ಠ","Munich Cowboys",66.0,53.0
6,"LA Losers","Rock Stars",33.0,52.0
6,"Donora Dragons","Masters of Disaster",70.0,53.0
6,"Leeds United","Average Joe's",63.0,54.0
6,"Egyptian Magicians","Generals",59.0,44.0
7,"Munich Cowboys","Rock Stars",46.0,72.0
7,"Egyptian Magicians","Masters of Disaster",46.0,96.0
7,"LA Losers","Generals",44.0,86.0
7,"Donora Dragons","Leeds United",38.0,60.0
7,"Average Joe's","ಠ_ಠ",61.0,59.0
8,"ಠ_ಠ","Munich Cowboys",56.0,74.0
8,"Generals","Egyptian Magicians",54.0,87.0
8,"Leeds United","LA Losers",60.0,47.0
8,"Rock Stars","Donora Dragons",80.0,82.0
8,"Masters of Disaster","Average Joe's",55.0,68.0
9,"Munich Cowboys","Masters of Disaster",63.0,90.0
9,"Egyptian Magicians","Leeds United",54.0,81.0
9,"Rock Stars","LA Losers",49.0,94.0
9,"Donora Dragons","ಠ_ಠ",62.0,73.0
9,"Average Joe's","Generals",71.0,56.0
10,"Donora Dragons","Leeds United",65.0,73.0
10,"Average Joe's","Egyptian Magicians",59.0,50.0
10,"Munich Cowboys","Rock Stars",37.0,83.0
10,"LA Losers","ಠ_ಠ",42.0,70.0
10,"Masters of Disaster","Generals",39.0,63.0
11,"Average Joe's","Rock Stars",63.0,37.0
11,"Egyptian Magicians","Donora Dragons",65.0,87.0
11,"Munich Cowboys","Masters of Disaster",53.0,73.0
11,"Generals","LA Losers",67.0,71.0
11,"ಠ_ಠ","Leeds United",41.0,44.0
12,"Average Joe's","ಠ_ಠ",59.0,44.0
12,"Leeds United","Munich Cowboys",67.0,45.0
12,"Rock Stars","Egyptian Magicians",70.0,60.0
12,"Masters of Disaster","LA Losers",56.0,62.0
12,"Donora Dragons","Generals",66.0,46.0
13,"Munich Cowboys","Donora Dragons",41.0,45.0
13,"Generals","ಠ_ಠ",82.0,49.0
13,"LA Losers","Average Joe's",56.0,71.0
13,"Masters of Disaster","Egyptian Magicians",72.0,121.0
13,"Rock Stars","Leeds United",77.0,79.0
14,"Munich Cowboys","LA Losers",42.0,57.0
14,"Egyptian Magicians","Leeds United",78.0,45.0
14,"ಠ_ಠ","Masters of Disaster",55.0,58.0
14,"Donora Dragons","Average Joe's",81.0,62.0
14,"Rock Stars","Generals",95.0,67.0
15,"Average Joe's","Munich Cowboys",69.0,32.0
15,"Masters of Disaster","Rock Stars",81.0,75.0
15,"LA Losers","Egyptian Magicians",42.0,57.0
15,"ಠ_ಠ","Donora Dragons",54.0,85.0
15,"Leeds United","Generals",106.0,49.0
16,"Egyptian Magicians","Munich Cowboys",42.0,43.0
16,"Leeds United","Masters of Disaster",62.0,48.0
16,"Generals","Average Joe's",76.0,59.0
16,"LA Losers","Donora Dragons",60.0,55.0
16,"ಠ_ಠ","Rock Stars",71.0,93.0
17,"Average Joe's","Leeds United",60.0,73.0
17,"Donora Dragons","Rock Stars",87.0,62.0
17,"Egyptian Magicians","Generals",62.0,81.0
17,"LA Losers","Masters of Disaster",39.0,65.0
17,"ಠ_ಠ","Munich Cowboys",41.0,46.0
