week,away_team,home_team,away_result,home_result
1,"Donora Dragons","Egyptian Magicians",58.0,58.0
1,"Leeds United","Munich Cowboys",33.0,44.0
1,"Polish Power","Rock Stars",53.0,48.0
1,"Masters of Disaster","Homers Heroes",58.0,37.0
1,"Generals","LA Losers",38.0,47.0
2,"Generals","Polish Power",63.0,57.0
2,"Homers Heroes","Munich Cowboys",66.0,51.0
2,"Egyptian Magicians","Masters of Disaster",68.0,48.0
2,"Rock Stars","Leeds United",72.0,77.0
2,"LA Losers","Donora Dragons",25.0,54.0
3,"Generals","Masters of Disaster",57.0,56.0
3,"Egyptian Magicians","Munich Cowboys",54.0,40.0
3,"LA Losers","Homers Heroes",56.0,53.0
3,"Donora Dragons","Leeds United",31.0,32.0
3,"Polish Power","Rock Stars",66.0,47.0
4,"Generals","Donora Dragons",51.0,85.0
4,"Leeds United","Masters of Disaster",48.0,77.0
4,"Polish Power","Egyptian Magicians",37.0,56.0
4,"Munich Cowboys","Rock Stars",35.0,46.0
4,"Homers Heroes","LA Losers",71.0,52.0
5,"Masters of Disaster","LA Losers",61.0,68.0
5,"Munich Cowboys","Polish Power",55.0,69.0
5,"Donora Dragons","Homers Heroes",48.0,37.0
5,"Leeds United","Egyptian Magicians",83.0,47.0
5,"Rock Stars","Generals",52.0,38.0
6,"Generals","Egyptian Magicians",31.0,42.0
6,"Munich Cowboys","Leeds United",41.0,79.0
6,"Homers Heroes","Rock Stars",47.0,50.0
6,"Polish Power","Masters of Disaster",53.0,56.0
6,"Donora Dragons","LA Losers",58.0,40.0
7,"Masters of Disaster","LA Losers",53.0,31.0
7,"Munich Cowboys","Homers Heroes",72.0,23.0
7,"Egyptian Magicians","Polish Power",59.0,31.0
7,"Leeds United","Rock Stars",50.0,58.0
7,"Donora Dragons","Generals",70.0,47.0
8,"Polish Power","Donora Dragons",58.0,49.0
8,"Rock Stars","Munich Cowboys",60.0,36.0
8,"Homers Heroes","Masters of Disaster",77.0,55.0
8,"Egyptian Magicians","Leeds United",81.0,31.0
8,"LA Losers","Generals",30.0,52.0
9,"LA Losers","Polish Power",45.0,42.0
9,"Masters of Disaster","Munich Cowboys",37.0,35.0
9,"Generals","Rock Stars",42.0,50.0
9,"Homers Heroes","Leeds United",42.0,60.0
9,"Egyptian Magicians","Donora Dragons",58.0,65.0
10,"Leeds United","LA Losers",40.0,63.0
10,"Rock Stars","Masters of Disaster",54.0,58.0
10,"Munich Cowboys","Donora Dragons",53.0,52.0
10,"Homers Heroes","Egyptian Magicians",70.0,46.0
10,"Polish Power","Generals",66.0,51.0
11,"Rock Stars","Donora Dragons",45.0,43.0
11,"Masters of Disaster","Leeds United",38.0,43.0
11,"Munich Cowboys","Polish Power",47.0,37.0
11,"Generals","Homers Heroes",32.0,50.0
11,"Egyptian Magicians","LA Losers",56.0,50.0
12,"Rock Stars","Egyptian Magicians",56.0,53.0
12,"LA Losers","Munich Cowboys",72.0,65.0
12,"Donora Dragons","Masters of Disaster",66.0,54.0
12,"Polish Power","Homers Heroes",35.0,53.0
12,"Leeds United","Generals",52.0,46.0
13,"Homers Heroes","Donora Dragons",35.0,84.0
13,"Egyptian Magicians","Munich Cowboys",81.0,21.0
13,"Leeds United","Polish Power",55.0,62.0
13,"LA Losers","Rock Stars",37.0,51.0
13,"Masters of Disaster","Generals",42.0,51.0
14,"Masters of Disaster","Polish Power",59.0,57.0
14,"Munich Cowboys","Donora Dragons",39.0,56.0
14,"Homers Heroes","Generals",44.0,45.0
14,"Leeds United","LA Losers",47.0,49.0
14,"Rock Stars","Egyptian Magicians",63.0,72.0
15,"Polish Power","LA Losers",40.0,68.0
15,"Donora Dragons","Leeds United",39.0,46.0
15,"Munich Cowboys","Masters of Disaster",64.0,64.0
15,"Rock Stars","Homers Heroes",45.0,33.0
15,"Egyptian Magicians","Generals",66.0,52.0
16,"LA Losers","Egyptian Magicians",75.0,52.0
16,"Leeds United","Homers Heroes",54.0,57.0
16,"Donora Dragons","Polish Power",36.0,67.0
16,"Masters of Disaster","Rock Stars",54.0,46.0
16,"Munich Cowboys","Generals",45.0,43.0
17,"Rock Stars","Egyptian Magicians",49.0,52.0
17,"Masters of Disaster","Donora Dragons",94.0,65.0
17,"Leeds United","LA Losers",33.0,51.0
17,"Homers Heroes","Polish Power",66.0,56.0
17,"Generals","Munich Cowboys",73.0,40.0
